,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,portfolioreturn,portfoliostandarddeviation,px,sbac,stz,unp,wlk,returnoverrisk
20,0.01,0.04,0.03,0.09,0.03,0.08,0.02,0.02,0.05,0.07,0.04,0.04,0.09,0.02,0.01,0.03,0.04,0.03,0.01,0.128151176617,0.00717566825595,0.07,0.04,0.03,0.1,0.01,17.8591278255
21,0.1,0.01,0.06,0.03,0.03,0.06,0.02,0.03,0.09,0.04,0.03,0.03,0.02,0.06,0.1,0.01,0.02,0.01,0.01,0.0873586049481,0.00993357176733,0.04,0.13,0.01,0.02,0.04,8.79427933821
22,0.07,0.06,0.04,0.06,0.06,0.05,0.01,0.01,0.02,0.01,0.03,0.07,0.03,0.02,0.05,0.04,0.06,0.05,0.02,0.114896931373,0.00794020128647,0.07,0.07,0.05,0.04,0.01,14.4702794335
23,0.01,0.07,0.02,0.06,0.04,0.02,0.08,0.03,0.06,0.09,0.09,0.01,0.23,0.03,0.01,0.02,0.01,0.03,0.02,0.0920926082654,0.00708748280673,0.01,0.02,0.01,0.01,0.02,12.9936975901
24,0.02,0.01,0.03,0.03,0.03,0.02,0.12,0.04,0.02,0.18,0.03,0.02,0.09,0.01,0.06,0.05,0.08,0.03,0.01,0.0893769345905,0.00716561223476,0.02,0.01,0.05,0.03,0.01,12.4730353335
25,0.02,0.1,0.04,0.02,0.04,0.01,0.04,0.08,0.01,0.01,0.05,0.02,0.01,0.01,0.02,0.02,0.02,0.1,0.02,0.129910459814,0.00783634172872,0.11,0.01,0.1,0.12,0.02,16.5779472503
26,0.03,0.09,0.02,0.05,0.03,0.01,0.03,0.09,0.01,0.06,0.09,0.02,0.06,0.01,0.03,0.01,0.01,0.11,0.01,0.130519957031,0.00687178278457,0.03,0.03,0.03,0.04,0.1,18.9936092456
27,0.05,0.05,0.01,0.01,0.24,0.03,0.01,0.01,0.03,0.03,0.01,0.05,0.14,0.01,0.06,0.05,0.01,0.01,0.01,0.115868292811,0.00994248539593,0.04,0.09,0.03,0.01,0.01,11.6538559723
28,0.06,0.01,0.02,0.02,0.06,0.02,0.01,0.01,0.01,0.13,0.1,0.03,0.07,0.01,0.03,0.01,0.03,0.07,0.05,0.126868908439,0.00812064945891,0.03,0.07,0.09,0.04,0.02,15.6230002392
29,0.04,0.11,0.01,0.02,0.03,0.04,0.15,0.02,0.01,0.01,0.01,0.03,0.08,0.01,0.01,0.04,0.04,0.01,0.07,0.0674451123169,0.0118031742619,0.03,0.18,0.03,0.01,0.01,5.71415034808
30,0.03,0.03,0.1,0.08,0.03,0.05,0.01,0.01,0.04,0.08,0.01,0.01,0.04,0.09,0.05,0.05,0.03,0.02,0.07,0.126051262865,0.00640869862361,0.02,0.01,0.02,0.06,0.06,19.6687768091
31,0.03,0.05,0.02,0.04,0.11,0.04,0.01,0.09,0.01,0.01,0.01,0.08,0.01,0.06,0.03,0.04,0.01,0.01,0.05,0.132081617709,0.00847360678864,0.03,0.08,0.04,0.05,0.09,15.5874140733
32,0.04,0.02,0.08,0.01,0.01,0.19,0.05,0.04,0.01,0.02,0.03,0.12,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0.0763895660325,0.0072537403665,0.02,0.05,0.01,0.06,0.09,10.5310587604
33,0.01,0.01,0.01,0.03,0.05,0.07,0.04,0.05,0.11,0.08,0.06,0.01,0.08,0.01,0.01,0.03,0.01,0.03,0.13,0.118389205093,0.00749973572864,0.02,0.06,0.02,0.02,0.05,15.7857835764
34,0.03,0.01,0.06,0.01,0.05,0.02,0.01,0.06,0.02,0.01,0.06,0.08,0.01,0.08,0.08,0.01,0.03,0.02,0.03,0.131664755962,0.00684385313482,0.03,0.01,0.06,0.07,0.15,19.2383958814
35,0.02,0.02,0.09,0.01,0.01,0.01,0.02,0.13,0.01,0.02,0.02,0.05,0.16,0.03,0.14,0.05,0.01,0.02,0.03,0.109764741886,0.00780565289341,0.04,0.04,0.01,0.01,0.05,14.0622115004
36,0.03,0.02,0.04,0.03,0.05,0.06,0.11,0.05,0.08,0.02,0.01,0.02,0.02,0.06,0.05,0.04,0.01,0.07,0.02,0.0504644060586,0.0075862826256,0.02,0.02,0.02,0.14,0.01,6.65205984922
37,0.03,0.02,0.03,0.02,0.09,0.03,0.07,0.02,0.08,0.01,0.02,0.11,0.03,0.01,0.01,0.04,0.01,0.06,0.01,0.114955564134,0.00874417281372,0.03,0.07,0.17,0.01,0.02,13.1465338784
38,0.01,0.01,0.02,0.05,0.07,0.05,0.07,0.03,0.04,0.06,0.03,0.04,0.01,0.06,0.07,0.02,0.04,0.07,0.02,0.113182106466,0.00955680863628,0.01,0.13,0.02,0.01,0.06,11.8430859897
39,0.04,0.03,0.02,0.06,0.01,0.02,0.07,0.05,0.02,0.04,0.03,0.04,0.03,0.02,0.03,0.03,0.04,0.08,0.08,0.0998281613714,0.00762751032577,0.04,0.07,0.07,0.03,0.05,13.0879090434
40,0.07,0.01,0.02,0.04,0.1,0.12,0.06,0.02,0.01,0.01,0.01,0.1,0.02,0.01,0.05,0.02,0.01,0.01,0.04,0.0537875604527,0.00737749990521,0.07,0.01,0.07,0.1,0.02,7.29075718656
41,0.01,0.02,0.02,0.01,0.11,0.01,0.04,0.02,0.24,0.06,0.01,0.05,0.03,0.11,0.02,0.02,0.06,0.01,0.02,0.13546157517,0.00772695830096,0.01,0.04,0.04,0.03,0.01,17.5310348385
42,0.06,0.02,0.03,0.03,0.02,0.03,0.04,0.13,0.05,0.01,0.01,0.01,0.05,0.08,0.02,0.01,0.07,0.04,0.07,0.0921497861312,0.00744066898166,0.07,0.05,0.02,0.02,0.06,12.3846103567
43,0.01,0.04,0.04,0.01,0.04,0.04,0.02,0.01,0.02,0.01,0.02,0.02,0.08,0.06,0.02,0.04,0.03,0.18,0.08,0.135576874607,0.00709796304339,0.03,0.01,0.15,0.02,0.02,19.1008143856
44,0.07,0.08,0.05,0.01,0.02,0.01,0.03,0.14,0.05,0.02,0.02,0.12,0.03,0.03,0.04,0.02,0.01,0.03,0.08,0.090676214492,0.00733196713928,0.01,0.03,0.02,0.04,0.04,12.367242347
45,0.05,0.03,0.03,0.07,0.03,0.01,0.07,0.02,0.08,0.05,0.04,0.02,0.03,0.02,0.01,0.03,0.02,0.04,0.14,0.0931079202751,0.00671514663919,0.07,0.03,0.05,0.01,0.05,13.8653592063
46,0.01,0.1,0.02,0.02,0.05,0.03,0.01,0.06,0.03,0.03,0.01,0.02,0.08,0.02,0.03,0.02,0.05,0.05,0.09,0.155447036745,0.00848118469811,0.03,0.07,0.11,0.05,0.01,18.3284579075
47,0.02,0.02,0.01,0.01,0.13,0.03,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.08,0.02,0.01,0.09,0.05,0.06,0.139933007641,0.00722527712214,0.05,0.04,0.03,0.02,0.13,19.3671474845
48,0.03,0.11,0.02,0.01,0.07,0.05,0.03,0.05,0.01,0.04,0.07,0.03,0.11,0.01,0.11,0.03,0.02,0.03,0.04,0.113137111175,0.0071930408047,0.03,0.01,0.02,0.03,0.04,15.728690306
49,0.01,0.03,0.11,0.03,0.06,0.01,0.03,0.03,0.04,0.02,0.04,0.02,0.02,0.03,0.01,0.02,0.04,0.05,0.05,0.15700953981,0.0109815770465,0.02,0.15,0.09,0.03,0.06,14.2975402482
50,0.02,0.04,0.06,0.02,0.02,0.01,0.05,0.06,0.11,0.01,0.03,0.01,0.1,0.01,0.07,0.04,0.01,0.01,0.04,0.126304504698,0.0101776952522,0.06,0.13,0.04,0.01,0.04,12.4099318725
51,0.01,0.06,0.01,0.03,0.02,0.03,0.02,0.06,0.08,0.04,0.02,0.16,0.01,0.02,0.11,0.01,0.02,0.08,0.06,0.132750484509,0.00707916433979,0.02,0.04,0.06,0.01,0.02,18.752281786
52,0.11,0.04,0.02,0.05,0.01,0.04,0.05,0.09,0.02,0.08,0.02,0.01,0.02,0.02,0.08,0.05,0.01,0.01,0.07,0.0712136250101,0.00681848848342,0.03,0.02,0.04,0.02,0.09,10.444195247
53,0.03,0.02,0.02,0.02,0.05,0.07,0.04,0.16,0.07,0.01,0.06,0.05,0.01,0.07,0.01,0.01,0.01,0.02,0.07,0.0949403124353,0.00752753067392,0.01,0.03,0.03,0.05,0.08,12.6124112339
54,0.13,0.05,0.03,0.07,0.01,0.01,0.02,0.01,0.04,0.04,0.05,0.04,0.01,0.05,0.01,0.01,0.03,0.04,0.02,0.097904837653,0.00800816106426,0.02,0.07,0.14,0.04,0.06,12.2256329346
55,0.01,0.03,0.1,0.01,0.07,0.02,0.08,0.1,0.01,0.05,0.02,0.06,0.05,0.01,0.02,0.06,0.06,0.04,0.04,0.109416181279,0.00759400485433,0.05,0.02,0.06,0.01,0.02,14.4082316746
56,0.01,0.05,0.01,0.07,0.03,0.01,0.05,0.02,0.01,0.03,0.03,0.1,0.02,0.04,0.02,0.06,0.15,0.05,0.01,0.14829110826,0.00698523005069,0.08,0.05,0.04,0.01,0.05,21.2292375747
57,0.01,0.07,0.1,0.03,0.02,0.01,0.04,0.05,0.13,0.06,0.01,0.02,0.04,0.02,0.03,0.05,0.01,0.03,0.04,0.148387246189,0.0101699112604,0.01,0.13,0.04,0.04,0.01,14.5908103217
58,0.05,0.07,0.03,0.03,0.01,0.01,0.05,0.01,0.03,0.04,0.11,0.04,0.09,0.06,0.02,0.02,0.01,0.02,0.04,0.102662288691,0.00679099109186,0.18,0.01,0.02,0.01,0.04,15.1174235546
59,0.04,0.01,0.02,0.01,0.04,0.01,0.03,0.01,0.12,0.08,0.01,0.01,0.03,0.09,0.03,0.11,0.06,0.05,0.06,0.125684512818,0.00696767244984,0.01,0.01,0.04,0.09,0.03,18.0382349663
60,0.03,0.04,0.01,0.05,0.06,0.07,0.01,0.08,0.03,0.11,0.04,0.03,0.02,0.06,0.06,0.01,0.04,0.02,0.03,0.137798162961,0.00893671355318,0.01,0.11,0.02,0.01,0.05,15.419333085
61,0.05,0.11,0.01,0.01,0.13,0.08,0.04,0.06,0.07,0.01,0.01,0.05,0.01,0.03,0.02,0.01,0.03,0.02,0.05,0.108117476904,0.00819816229426,0.04,0.05,0.07,0.03,0.01,13.1880137307
62,0.06,0.04,0.07,0.02,0.02,0.02,0.03,0.02,0.05,0.04,0.07,0.01,0.03,0.08,0.07,0.04,0.01,0.02,0.03,0.122974542427,0.00652867384742,0.01,0.01,0.06,0.02,0.17,18.8360676764
63,0.09,0.01,0.05,0.01,0.03,0.08,0.14,0.01,0.01,0.02,0.03,0.04,0.01,0.03,0.02,0.12,0.03,0.02,0.03,0.0262953782746,0.00722395442719,0.06,0.01,0.04,0.06,0.05,3.64002549292
64,0.08,0.01,0.12,0.02,0.02,0.09,0.01,0.02,0.07,0.02,0.09,0.01,0.03,0.01,0.03,0.02,0.01,0.01,0.06,0.101805196354,0.0102046205657,0.07,0.13,0.01,0.03,0.03,9.9763823357
65,0.01,0.03,0.06,0.02,0.05,0.04,0.35,0.02,0.01,0.02,0.02,0.05,0.03,0.04,0.04,0.06,0.02,0.01,0.01,-0.0584258286289,0.00866437832391,0.04,0.01,0.03,0.02,0.01,-6.74322224224
66,0.13,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.02,0.03,0.01,0.15,0.01,0.02,0.09,0.01,0.0831775290878,0.0101898284522,0.09,0.13,0.03,0.02,0.06,8.16279974465
67,0.04,0.01,0.03,0.07,0.03,0.05,0.08,0.11,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.09,0.06,0.12,0.0805019915467,0.00725580385925,0.02,0.04,0.03,0.03,0.02,11.0948411931
68,0.05,0.01,0.02,0.06,0.02,0.04,0.06,0.01,0.02,0.01,0.03,0.03,0.01,0.15,0.07,0.02,0.02,0.07,0.09,0.0643289161798,0.00693426530639,0.08,0.03,0.02,0.06,0.02,9.27696206266
69,0.01,0.04,0.02,0.07,0.11,0.01,0.03,0.03,0.01,0.02,0.05,0.04,0.02,0.07,0.06,0.06,0.07,0.02,0.07,0.129830958011,0.00712926660485,0.02,0.01,0.06,0.06,0.04,18.2109837108
70,0.03,0.01,0.03,0.02,0.01,0.01,0.02,0.01,0.09,0.03,0.01,0.08,0.04,0.03,0.12,0.04,0.01,0.02,0.06,0.116638072244,0.00751523954462,0.08,0.01,0.08,0.14,0.02,15.5202068479
71,0.01,0.05,0.01,0.05,0.02,0.02,0.08,0.03,0.09,0.01,0.06,0.06,0.09,0.06,0.05,0.02,0.02,0.04,0.07,0.0876921453116,0.0067027181159,0.01,0.02,0.03,0.06,0.04,13.0830722395
72,0.04,0.01,0.02,0.1,0.05,0.02,0.03,0.03,0.02,0.06,0.01,0.02,0.08,0.04,0.05,0.03,0.07,0.04,0.1,0.109954724899,0.00669763085432,0.02,0.03,0.06,0.03,0.04,16.4169580692
73,0.03,0.03,0.01,0.06,0.04,0.03,0.01,0.1,0.02,0.02,0.16,0.03,0.02,0.04,0.04,0.02,0.09,0.1,0.01,0.130511680603,0.00712271435921,0.01,0.03,0.04,0.01,0.05,18.3233068212
74,0.03,0.01,0.07,0.01,0.05,0.02,0.04,0.03,0.06,0.06,0.06,0.07,0.02,0.01,0.02,0.02,0.03,0.02,0.09,0.117853766681,0.00752291962854,0.07,0.04,0.05,0.08,0.04,15.665961156
75,0.07,0.01,0.06,0.01,0.07,0.03,0.09,0.12,0.05,0.02,0.01,0.15,0.03,0.03,0.01,0.02,0.05,0.03,0.03,0.0479296939121,0.00744178843821,0.01,0.01,0.04,0.04,0.01,6.44061495567
76,0.01,0.07,0.01,0.02,0.01,0.08,0.07,0.11,0.01,0.04,0.07,0.04,0.04,0.1,0.02,0.04,0.06,0.02,0.02,0.104541035079,0.0076226880923,0.04,0.04,0.05,0.02,0.01,13.7144579199
77,0.07,0.02,0.03,0.01,0.01,0.07,0.04,0.06,0.01,0.02,0.01,0.09,0.04,0.03,0.1,0.14,0.03,0.04,0.01,0.0824901020622,0.00703274609325,0.03,0.01,0.02,0.07,0.04,11.7294298654
78,0.02,0.08,0.05,0.02,0.01,0.06,0.05,0.04,0.04,0.11,0.05,0.04,0.02,0.13,0.01,0.06,0.05,0.03,0.02,0.127003769601,0.00680248651698,0.03,0.01,0.03,0.01,0.03,18.6701979172
79,0.02,0.03,0.05,0.09,0.03,0.03,0.02,0.13,0.06,0.01,0.01,0.01,0.06,0.02,0.01,0.12,0.08,0.01,0.03,0.132920231769,0.00738641049702,0.05,0.03,0.02,0.06,0.02,17.9952402892
80,0.05,0.04,0.06,0.02,0.01,0.12,0.11,0.03,0.11,0.02,0.02,0.03,0.01,0.02,0.01,0.03,0.03,0.03,0.05,0.0555065817626,0.00674080119935,0.01,0.01,0.02,0.09,0.07,8.23441904324
81,0.01,0.09,0.06,0.06,0.05,0.03,0.04,0.07,0.01,0.01,0.02,0.04,0.06,0.02,0.07,0.02,0.12,0.04,0.04,0.13059837918,0.00782193497193,0.01,0.06,0.03,0.03,0.01,16.6964286521
82,0.01,0.06,0.04,0.02,0.04,0.02,0.14,0.02,0.01,0.11,0.06,0.04,0.05,0.01,0.01,0.01,0.13,0.04,0.01,0.0985124576122,0.00844175124761,0.04,0.09,0.01,0.01,0.02,11.6696707499
83,0.01,0.01,0.04,0.04,0.02,0.01,0.02,0.02,0.07,0.1,0.07,0.08,0.08,0.09,0.03,0.01,0.08,0.01,0.02,0.142677718246,0.00634816241494,0.05,0.02,0.01,0.04,0.07,22.475436027
84,0.02,0.02,0.02,0.02,0.01,0.01,0.15,0.01,0.03,0.04,0.03,0.09,0.03,0.01,0.06,0.04,0.03,0.06,0.02,0.0777573111499,0.00865482027094,0.06,0.11,0.01,0.01,0.11,8.9842779764
85,0.01,0.02,0.04,0.02,0.07,0.01,0.14,0.04,0.04,0.02,0.05,0.01,0.04,0.01,0.07,0.04,0.04,0.14,0.05,0.059288905643,0.00714192754372,0.01,0.01,0.04,0.05,0.03,8.30152718297
86,0.01,0.09,0.07,0.02,0.02,0.1,0.15,0.01,0.02,0.03,0.03,0.03,0.02,0.04,0.01,0.03,0.06,0.01,0.03,0.076128702152,0.00697795668781,0.08,0.02,0.02,0.02,0.08,10.909884592
87,0.09,0.05,0.06,0.02,0.05,0.03,0.05,0.01,0.03,0.05,0.03,0.01,0.06,0.1,0.05,0.01,0.03,0.01,0.05,0.0793579844851,0.00797927641692,0.04,0.07,0.02,0.02,0.06,9.94551138959
88,0.01,0.03,0.04,0.01,0.09,0.02,0.02,0.07,0.01,0.01,0.01,0.11,0.03,0.02,0.01,0.02,0.01,0.02,0.08,0.150203917444,0.00787016219273,0.05,0.08,0.01,0.04,0.2,19.0852378599
89,0.04,0.02,0.02,0.01,0.15,0.05,0.01,0.06,0.03,0.09,0.03,0.04,0.05,0.02,0.01,0.04,0.03,0.03,0.01,0.139180472926,0.00745439914887,0.05,0.02,0.07,0.03,0.09,18.6709176885
90,0.13,0.01,0.01,0.01,0.02,0.05,0.13,0.02,0.02,0.12,0.01,0.09,0.09,0.01,0.01,0.03,0.04,0.07,0.05,0.00253679626855,0.00708159790218,0.01,0.01,0.02,0.02,0.02,0.358223709336
91,0.04,0.12,0.04,0.01,0.08,0.1,0.01,0.02,0.04,0.02,0.06,0.03,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.147282139339,0.00726931165646,0.05,0.01,0.14,0.03,0.07,20.2608095924
92,0.02,0.03,0.08,0.02,0.01,0.03,0.11,0.07,0.04,0.04,0.04,0.01,0.04,0.01,0.02,0.01,0.05,0.04,0.03,0.0908000001754,0.00761763662878,0.08,0.03,0.1,0.06,0.03,11.9197074631
93,0.01,0.02,0.03,0.02,0.04,0.05,0.06,0.01,0.08,0.02,0.05,0.01,0.04,0.02,0.03,0.08,0.01,0.09,0.02,0.117943912529,0.00769095433554,0.03,0.03,0.11,0.11,0.03,15.3354066847
94,0.03,0.09,0.02,0.02,0.03,0.07,0.05,0.05,0.04,0.07,0.12,0.01,0.02,0.02,0.02,0.05,0.07,0.09,0.06,0.116272713533,0.0070486163697,0.01,0.03,0.01,0.01,0.01,16.4958209433
95,0.04,0.15,0.01,0.09,0.07,0.04,0.02,0.02,0.01,0.01,0.11,0.04,0.01,0.08,0.03,0.04,0.04,0.03,0.03,0.120339503112,0.00707735431629,0.03,0.02,0.01,0.06,0.01,17.0034588822
96,0.02,0.05,0.04,0.03,0.01,0.08,0.04,0.04,0.01,0.03,0.01,0.03,0.02,0.06,0.06,0.01,0.21,0.14,0.01,0.129584324356,0.00639143651516,0.01,0.01,0.01,0.01,0.06,20.2746791037
97,0.01,0.02,0.02,0.08,0.06,0.02,0.02,0.01,0.01,0.03,0.05,0.01,0.07,0.09,0.14,0.01,0.01,0.01,0.03,0.115361400625,0.00771501210875,0.02,0.04,0.02,0.13,0.09,14.9528476429
98,0.08,0.02,0.08,0.04,0.04,0.01,0.01,0.05,0.04,0.01,0.09,0.02,0.02,0.11,0.08,0.02,0.01,0.01,0.05,0.0878100231056,0.00944750061739,0.02,0.1,0.01,0.07,0.01,9.29452419871
99,0.11,0.05,0.01,0.06,0.03,0.03,0.04,0.01,0.02,0.01,0.04,0.04,0.01,0.06,0.11,0.14,0.02,0.01,0.03,0.0687763386426,0.00731886185802,0.03,0.02,0.04,0.07,0.01,9.39713578106
100,0.02,0.04,0.04,0.14,0.01,0.04,0.04,0.07,0.01,0.04,0.06,0.01,0.02,0.01,0.1,0.02,0.07,0.02,0.04,0.108942932988,0.00660332939022,0.03,0.01,0.02,0.09,0.05,16.4981824395
101,0.02,0.03,0.02,0.03,0.02,0.01,0.06,0.02,0.04,0.15,0.05,0.03,0.02,0.02,0.04,0.03,0.06,0.18,0.01,0.12709515258,0.00733431396686,0.05,0.06,0.02,0.02,0.01,17.3288399098
102,0.04,0.01,0.07,0.01,0.1,0.03,0.03,0.07,0.04,0.01,0.02,0.01,0.04,0.02,0.05,0.03,0.02,0.06,0.01,0.108886023916,0.00836813650144,0.11,0.04,0.08,0.09,0.01,13.011979895
103,0.01,0.01,0.01,0.03,0.01,0.07,0.08,0.02,0.02,0.05,0.08,0.05,0.02,0.01,0.01,0.04,0.14,0.16,0.05,0.108724548719,0.00649687665743,0.01,0.02,0.03,0.02,0.05,16.7348950045
104,0.02,0.02,0.04,0.01,0.02,0.02,0.01,0.05,0.05,0.01,0.04,0.04,0.01,0.07,0.02,0.07,0.02,0.01,0.01,0.151728985393,0.00782128754775,0.08,0.02,0.1,0.15,0.11,19.399489466
105,0.05,0.02,0.02,0.02,0.02,0.1,0.09,0.08,0.01,0.03,0.06,0.03,0.02,0.01,0.03,0.01,0.04,0.02,0.06,0.058403061624,0.00754784578973,0.08,0.02,0.06,0.1,0.02,7.7377126204
106,0.02,0.03,0.04,0.01,0.07,0.01,0.03,0.03,0.03,0.07,0.05,0.15,0.01,0.01,0.1,0.1,0.01,0.01,0.03,0.137880398829,0.00738056636728,0.04,0.03,0.04,0.02,0.06,18.6815471832
107,0.01,0.03,0.01,0.02,0.04,0.04,0.05,0.01,0.04,0.05,0.23,0.08,0.01,0.03,0.03,0.12,0.03,0.02,0.02,0.122694829027,0.00751403227745,0.05,0.02,0.01,0.04,0.01,16.3287599117
108,0.03,0.03,0.02,0.05,0.01,0.03,0.04,0.01,0.04,0.02,0.05,0.07,0.13,0.11,0.02,0.06,0.09,0.01,0.01,0.114124680789,0.00773885846578,0.05,0.07,0.03,0.01,0.01,14.7469657564
109,0.03,0.09,0.01,0.12,0.03,0.07,0.01,0.03,0.02,0.03,0.02,0.02,0.09,0.07,0.02,0.02,0.02,0.07,0.01,0.120770893022,0.0073785188498,0.07,0.06,0.03,0.05,0.01,16.3679046541
110,0.08,0.01,0.06,0.01,0.02,0.02,0.01,0.02,0.05,0.12,0.06,0.04,0.04,0.02,0.15,0.05,0.04,0.03,0.01,0.110222229068,0.00795875088343,0.03,0.06,0.01,0.04,0.02,13.8491869745
111,0.01,0.12,0.04,0.08,0.01,0.03,0.04,0.06,0.14,0.01,0.01,0.05,0.04,0.01,0.04,0.04,0.04,0.01,0.05,0.139134712964,0.0069000006499,0.05,0.04,0.01,0.03,0.04,20.1644492549
112,0.01,0.03,0.02,0.01,0.01,0.02,0.01,0.06,0.05,0.02,0.07,0.13,0.03,0.01,0.08,0.1,0.05,0.11,0.06,0.14124794466,0.00667029744489,0.04,0.01,0.03,0.01,0.03,21.1756590807
113,0.04,0.25,0.01,0.07,0.04,0.01,0.03,0.1,0.02,0.01,0.02,0.02,0.03,0.03,0.06,0.03,0.04,0.03,0.02,0.143061213845,0.00769007407324,0.04,0.04,0.02,0.01,0.03,18.6033596663
