,AAL,ADM,AES,AGN,ALKS,portfolioreturn,portfoliostandarddeviation,returnoverrisk
37,-0.011,-0.012,0.043,-0.0085,-0.015,0.00252064871956,0.000602767822909,4.18179044029
38,-0.0195,-0.0165,0.029,-0.0155,-0.0125,0.00381420614453,0.000643387408227,5.92831954085
39,-0.014,-0.018,0.0335,-0.0125,-0.0055,0.00281643584055,0.000565458584006,4.98079951426
40,-0.0195,-0.0185,0.011,-0.0115,-0.0115,0.00365523394041,0.00054819935195,6.66770934225
41,-0.0145,-0.0145,0.0285,-0.019,-0.0115,0.00425874326468,0.000610039612674,6.98109299167
42,-0.0095,-0.0135,0.012,-0.0085,-0.0075,0.00264009072524,0.0003435593014,7.68452699282
43,-0.0175,-0.0135,0.012,-0.0145,-0.009,0.00350742386961,0.000520067762986,6.74416704753
44,-0.01,-0.0055,0.0125,-0.009,-0.019,0.00319711639946,0.000393387608974,8.1271405772
45,-0.017,-0.0095,0.047,-0.0165,-0.016,0.00341699855235,0.000743728538226,4.59441634511
46,-0.0085,-0.0195,0.015,-0.018,-0.0125,0.00508582146756,0.000507750595811,10.0163771535
47,-0.012,-0.0145,0.027,-0.0195,-0.0075,0.00404272896068,0.00056674172907,7.13328268118
48,-0.0165,-0.0095,0.0355,-0.0085,-0.02,0.00283220856036,0.000602473145244,4.70097062868
49,-0.015,-0.0135,0.0135,-0.018,-0.019,0.00509872500119,0.000582944342548,8.74650396109
50,-0.0175,-0.0185,0.048,-0.015,-0.014,0.00367210938249,0.000756137592599,4.85640367366
51,-0.014,-0.0115,0.034,-0.016,-0.008,0.0030809123205,0.000587413769101,5.24487589933
52,-0.007,-0.0075,0.0105,-0.02,-0.0155,0.0048750950233,0.000484319797986,10.0658594663
53,-0.0105,-0.014,0.0205,-0.017,-0.019,0.0049510127771,0.000545480096268,9.0764315893
54,-0.009,-0.015,0.0225,-0.0075,-0.014,0.00303016004009,0.000419736298613,7.21919941188
55,-0.01,-0.0085,0.048,-0.0155,-0.0085,0.00260477991995,0.000666616138012,3.90746603843
56,-0.0135,-0.011,0.048,-0.007,-0.016,0.00211764751799,0.000661009407763,3.20365715392
57,-0.013,-0.0055,0.0485,-0.0175,-0.016,0.00333112787147,0.000728553745055,4.57224726945
58,-0.009,-0.018,0.0285,-0.0075,-0.01,0.00273581582956,0.000458497749698,5.96691222883
59,-0.0095,-0.009,0.032,-0.0175,-0.0115,0.00364012237018,0.000556030017035,6.5466292442
60,-0.0175,-0.011,0.0385,-0.008,-0.0195,0.00272777537214,0.000632589800971,4.31207611623
61,-0.0095,-0.02,0.0225,-0.013,-0.009,0.00378754253013,0.000476207511127,7.95355478784
62,-0.0055,-0.0115,0.0295,-0.0125,-0.016,0.00367643168286,0.000485741343721,7.56870241825
63,-0.0065,-0.0055,0.015,-0.019,-0.015,0.00441705218532,0.000470321172652,9.39156568353
64,-0.008,-0.0075,0.044,-0.018,-0.0065,0.00286618086129,0.000631650033941,4.53760897217
65,-0.009,-0.016,0.0105,-0.0085,-0.0165,0.00379273548106,0.000396539819937,9.56457659578
66,-0.0145,-0.0135,0.0375,-0.0195,-0.019,0.00480287627253,0.000700001062586,6.86124140267
67,-0.0155,-0.016,0.0275,-0.0115,-0.015,0.0035420505639,0.000559246054742,6.33361743702
68,-0.0125,-0.0085,0.025,-0.007,-0.016,0.00246775264548,0.000454256408061,5.4325103657
69,-0.01,-0.0065,0.0305,-0.011,-0.0145,0.0027327158734,0.000493604943426,5.53624089425
70,-0.0115,-0.009,0.0175,-0.0095,-0.0115,0.00265131452132,0.000400648833386,6.61755208149
71,-0.0125,-0.0125,0.02,-0.0075,-0.014,0.00278424920124,0.000430935665119,6.46093936197
72,-0.0075,-0.01,0.018,-0.0125,-0.019,0.0040601040924,0.000442634442004,9.17258962953
73,-0.007,-0.017,0.02,-0.008,-0.0115,0.00313489995448,0.000388958608699,8.0597263677
74,-0.0195,-0.0085,0.0475,-0.0185,-0.008,0.00276697226328,0.000762649867095,3.62810299019
75,-0.015,-0.0105,0.018,-0.0165,-0.0095,0.00356487503125,0.000518395034234,6.87675381868
76,-0.02,-0.018,0.0345,-0.0105,-0.009,0.00265684174465,0.000632798616536,4.19855808029
77,-0.0185,-0.019,0.0145,-0.0105,-0.011,0.00343685185373,0.000531295189602,6.46881793961
78,-0.0125,-0.007,0.0145,-0.008,-0.009,0.00204192611452,0.000366941485393,5.56471861536
79,-0.012,-0.0125,0.043,-0.011,-0.012,0.00262628470165,0.000617139484613,4.25557717036
80,-0.019,-0.014,0.016,-0.0135,-0.006,0.00295555182356,0.000531249756109,5.56339422197
81,-0.0125,-0.0115,0.036,-0.013,-0.0135,0.00315613120898,0.000580495864466,5.43695726737
82,-0.0065,-0.0115,0.021,-0.0195,-0.016,0.00494551370548,0.000520477152701,9.50188433788
83,-0.013,-0.007,0.0335,-0.0115,-0.007,0.00194642772939,0.000522486484126,3.72531690011
84,-0.0135,-0.018,0.0195,-0.006,-0.0165,0.00322643223976,0.000465519351334,6.93082302704
85,-0.014,-0.011,0.039,-0.0165,-0.0105,0.00325579850668,0.000636539834761,5.11483858336
86,-0.006,-0.0185,0.0405,-0.008,-0.0145,0.00311858741778,0.000563692911867,5.53242262254
87,-0.0105,-0.0155,0.029,-0.0055,-0.009,0.00206325056935,0.0004487534233,4.59773778255
88,-0.0185,-0.011,0.036,-0.019,-0.0055,0.00308859859458,0.000669692778354,4.61196341728
89,-0.017,-0.0145,0.0155,-0.012,-0.009,0.00312871642747,0.000498756116501,6.27303871363
90,-0.0175,-0.0135,0.04,-0.0105,-0.0155,0.00288976151226,0.000651555705141,4.43517183483
91,-0.0155,-0.0075,0.049,-0.02,-0.017,0.00390461527769,0.000779584035377,5.00858804247
92,-0.007,-0.007,0.011,-0.0095,-0.018,0.00341749273045,0.000361147497513,9.46287252159
93,-0.0125,-0.013,0.0345,-0.0135,-0.012,0.00324043136763,0.00057129644085,5.67206643683
94,-0.0105,-0.0105,0.039,-0.012,-0.0165,0.00320689385234,0.000590807367445,5.42798554833
95,-0.014,-0.02,0.022,-0.019,-0.0195,0.00566817863527,0.000635121798341,8.92455376288
96,-0.0195,-0.0105,0.014,-0.0135,-0.019,0.00400551954088,0.000578621083326,6.92252608194
97,-0.0095,-0.017,0.0305,-0.0055,-0.0195,0.00323112666492,0.000501371985033,6.44456962371
98,-0.011,-0.0095,0.013,-0.014,-0.019,0.00426977854947,0.000474622693408,8.9961533841
99,-0.013,-0.0095,0.0445,-0.007,-0.0105,0.00153921455326,0.000605817204122,2.54072440133
100,-0.0115,-0.0135,0.016,-0.008,-0.011,0.00276339239226,0.000394111641726,7.01169947724
101,-0.015,-0.0115,0.025,-0.0095,-0.0145,0.00288320757938,0.000503959606294,5.72110848444
102,-0.0125,-0.0175,0.04,-0.0155,-0.017,0.00429605558673,0.000663289608691,6.47689264304
103,-0.019,-0.0095,0.0415,-0.0095,-0.0145,0.00223061372313,0.000660150791526,3.37894576778
104,-0.0175,-0.009,0.015,-0.016,-0.0115,0.00356152672844,0.000540036665076,6.59497208017
105,-0.013,-0.0105,0.028,-0.0185,-0.0145,0.00421071946438,0.000588969889104,7.14929496783
106,-0.0125,-0.0075,0.013,-0.013,-0.0115,0.00315569141316,0.000429662389891,7.34458376485
107,-0.009,-0.011,0.03,-0.011,-0.0055,0.00223576174241,0.000457598162642,4.88586258629
108,-0.012,-0.018,0.011,-0.017,-0.017,0.0052481712413,0.000539581421469,9.72637498713
109,-0.0105,-0.018,0.044,-0.0175,-0.014,0.00431768656145,0.000686727644219,6.28733472112
110,-0.018,-0.0115,0.0495,-0.017,-0.0115,0.00312148596591,0.000765742282363,4.07641844757
111,-0.016,-0.007,0.0175,-0.018,-0.0055,0.00309992139929,0.000523248515291,5.92437686625
112,-0.0185,-0.0195,0.0235,-0.019,-0.006,0.00411212502635,0.000630757449653,6.51934436702
113,-0.014,-0.009,0.045,-0.016,-0.0175,0.0035794425811,0.000702652659637,5.09418491769
114,-0.016,-0.0115,0.0405,-0.013,-0.0085,0.00245240753942,0.000632612537795,3.87663442138
115,-0.0105,-0.0135,0.013,-0.014,-0.0075,0.00345615011627,0.000420084861584,8.22726651762
116,-0.019,-0.0105,0.0355,-0.016,-0.01,0.00302276133425,0.000655350328552,4.61243582639
117,-0.0145,-0.019,0.035,-0.0095,-0.0085,0.00267629713888,0.000571058798246,4.68655267566
118,-0.014,-0.007,0.0405,-0.0145,-0.0145,0.00298280149018,0.000638710527193,4.67003652388
119,-0.0095,-0.018,0.045,-0.009,-0.014,0.0029828787692,0.000626467743982,4.76142434763
120,-0.006,-0.009,0.026,-0.006,-0.015,0.00241388155819,0.000395208969888,6.10786126355
121,-0.02,-0.011,0.026,-0.012,-0.0095,0.00257003825373,0.000573735812691,4.47948027102
122,-0.0095,-0.0055,0.0475,-0.0075,-0.0105,0.00132597532964,0.000612224807519,2.16583077549
123,-0.01,-0.0175,0.024,-0.006,-0.008,0.00233221755295,0.000415435466734,5.6139105582
124,-0.019,-0.011,0.035,-0.009,-0.011,0.0020707427197,0.000598779494214,3.45827260237
125,-0.013,-0.0105,0.0265,-0.012,-0.018,0.00357028004612,0.000528508835101,6.75538384413
126,-0.009,-0.0185,0.048,-0.0095,-0.012,0.00284788303276,0.000650363556479,4.37890931064
127,-0.0175,-0.02,0.0335,-0.0165,-0.0085,0.00380959778658,0.000653482018171,5.82969030616
128,-0.006,-0.0125,0.0245,-0.0175,-0.0155,0.00459558177851,0.000509740621912,9.01552982235
129,-0.017,-0.014,0.04,-0.0095,-0.0095,0.00218581228401,0.000622081691505,3.51370618017
130,-0.014,-0.02,0.023,-0.0105,-0.006,0.00295231890356,0.000492734585223,5.99170221069
131,-0.014,-0.009,0.0205,-0.0125,-0.011,0.00293440718791,0.000473943884339,6.19146545587
132,-0.019,-0.008,0.0495,-0.0075,-0.015,0.0016614604468,0.000716281299785,2.31956418142
133,-0.0085,-0.014,0.0275,-0.01,-0.0145,0.00329397010576,0.000468760274982,7.02698219444
134,-0.0165,-0.0075,0.042,-0.012,-0.014,0.00247307275168,0.000652382184252,3.79083428607
135,-0.012,-0.0125,0.0295,-0.0135,-0.0085,0.00297754455911,0.000516249186344,5.7676498828
136,-0.0085,-0.0065,0.0355,-0.009,-0.018,0.00269696229605,0.000524514144567,5.14182948922
137,-0.007,-0.006,0.011,-0.009,-0.02,0.00345796378061,0.000367987462729,9.39696085016
138,-0.0125,-0.008,0.0115,-0.0195,-0.0125,0.00435578325734,0.000517061761226,8.42410633309
139,-0.012,-0.016,0.045,-0.0085,-0.0105,0.00231970104932,0.000624431788547,3.714899036
140,-0.012,-0.0175,0.039,-0.0175,-0.0115,0.00409765162624,0.000648463541395,6.31901620471
141,-0.006,-0.014,0.0495,-0.008,-0.0155,0.00264913974752,0.000643503574484,4.11674441691
142,-0.016,-0.0065,0.0265,-0.011,-0.0165,0.00285222317554,0.000535393077385,5.32734414399
143,-0.0165,-0.0125,0.027,-0.019,-0.018,0.00472470399905,0.000648129316416,7.28975511426
144,-0.018,-0.0065,0.035,-0.011,-0.0085,0.00179983369751,0.000586495802033,3.06879212311
145,-0.0155,-0.014,0.0155,-0.017,-0.0105,0.00407010639944,0.000538781163385,7.55428488603
146,-0.0195,-0.0075,0.0345,-0.019,-0.0145,0.00371213598367,0.000695549670303,5.33698187514
147,-0.0195,-0.007,0.0285,-0.0185,-0.0165,0.00392980950461,0.000665101556599,5.90858563722
148,-0.02,-0.0135,0.0375,-0.0155,-0.0175,0.00386405462567,0.000709650067251,5.44501410482
149,-0.0175,-0.0095,0.0425,-0.0155,-0.011,0.0028465740532,0.000687236728079,4.14205751365
150,-0.0165,-0.006,0.0395,-0.0065,-0.006,0.000739579742965,0.000573262212629,1.29012470502
151,-0.008,-0.009,0.044,-0.0105,-0.016,0.00275643049798,0.000605264065263,4.5540957347
152,-0.0135,-0.013,0.0265,-0.02,-0.019,0.00512049723336,0.000632985579999,8.08943741399
153,-0.0065,-0.0175,0.03,-0.019,-0.008,0.00434630777872,0.000546365878558,7.95493999403
154,-0.006,-0.016,0.02,-0.0075,-0.02,0.00385518400604,0.000420746911078,9.16271493512
155,-0.006,-0.0135,0.02,-0.018,-0.0095,0.00425692252133,0.000464710971096,9.16036587491
156,-0.0115,-0.0105,0.046,-0.0185,-0.015,0.00389372276805,0.000706702181933,5.50970814524
157,-0.0065,-0.0065,0.039,-0.0195,-0.008,0.00332892413902,0.000596444139738,5.5812840084
158,-0.019,-0.0125,0.037,-0.007,-0.017,0.00243231266897,0.000624244018332,3.89641325755
159,-0.0195,-0.009,0.039,-0.0175,-0.017,0.00374499505379,0.00072148749512,5.19065829848
160,-0.013,-0.0125,0.0175,-0.0065,-0.012,0.00246879133884,0.000406508883321,6.07315470864
161,-0.013,-0.0105,0.048,-0.0115,-0.008,0.00199982950434,0.000660553416779,3.02750610858
162,-0.0095,-0.014,0.02,-0.016,-0.0055,0.00348094901816,0.00045534550409,7.64463245358
163,-0.0095,-0.0125,0.0405,-0.0065,-0.019,0.0027463593611,0.000574725997637,4.77855425436
164,-0.0095,-0.0175,0.014,-0.0065,-0.0115,0.00300385399569,0.000373756662644,8.036924277
165,-0.0055,-0.011,0.012,-0.0155,-0.0125,0.00415717476379,0.000403677744066,10.29825108
166,-0.018,-0.0125,0.0125,-0.008,-0.0115,0.00262589292265,0.000468971937624,5.59925384011
167,-0.0075,-0.0115,0.0415,-0.02,-0.0185,0.00477912318401,0.000675783058748,7.0719783844
168,-0.019,-0.0105,0.0495,-0.008,-0.016,0.00204304875218,0.000725181833384,2.81729168896
169,-0.016,-0.0145,0.0225,-0.0055,-0.015,0.00257373361504,0.000483495629998,5.32317865014
170,-0.0065,-0.0065,0.0215,-0.011,-0.0175,0.00333860531824,0.000418612725955,7.97540330535
171,-0.006,-0.009,0.045,-0.013,-0.013,0.00288476252781,0.000612004773493,4.71362749565
172,-0.02,-0.016,0.0305,-0.013,-0.02,0.0040821995317,0.000664440280913,6.1438170577
173,-0.016,-0.008,0.0315,-0.018,-0.018,0.00411420235317,0.000645485717168,6.3738085038
174,-0.0125,-0.017,0.017,-0.0095,-0.0185,0.00398343335575,0.000480228386445,8.29487274844
175,-0.0155,-0.0055,0.0455,-0.0065,-0.015,0.00149263275145,0.000640853188852,2.32913368836
176,-0.017,-0.009,0.039,-0.0125,-0.015,0.00282765736126,0.000642985607963,4.397699305
177,-0.0115,-0.0195,0.025,-0.007,-0.014,0.00318726935741,0.000476502492467,6.68888286587
178,-0.019,-0.02,0.0335,-0.0055,-0.008,0.00198150721601,0.000588145759307,3.36907507137
179,-0.0155,-0.014,0.01,-0.007,-0.019,0.00346963253504,0.000464745163566,7.46566679343
180,-0.0185,-0.0145,0.033,-0.0145,-0.017,0.00388277062594,0.0006564017227,5.91523527691
181,-0.0195,-0.017,0.0305,-0.009,-0.019,0.00344646065536,0.000623687375814,5.52594262608
182,-0.009,-0.0075,0.022,-0.0145,-0.0095,0.00308720890422,0.00044048450016,7.00866637328
183,-0.007,-0.014,0.019,-0.018,-0.0085,0.0041913746003,0.000465051548091,9.01270970391
184,-0.0135,-0.0175,0.041,-0.0185,-0.0195,0.00496823740186,0.000717720601174,6.92224438554
185,-0.0145,-0.0155,0.0355,-0.016,-0.0145,0.00400763391655,0.000636967130614,6.29174367708
186,-0.011,-0.0175,0.025,-0.0175,-0.0185,0.00514650348011,0.000585404103034,8.79136899355
187,-0.0095,-0.0065,0.0385,-0.0185,-0.013,0.00359748448066,0.000618612519581,5.81540846134
188,-0.007,-0.017,0.0355,-0.007,-0.0175,0.00322511027045,0.000524909174157,6.14413012619
189,-0.02,-0.018,0.013,-0.0125,-0.014,0.00396299936294,0.000576730601163,6.87149139468
190,-0.007,-0.017,0.032,-0.0115,-0.0095,0.00321320802726,0.000495386124213,6.48626974033
191,-0.0125,-0.0115,0.0235,-0.013,-0.0075,0.00283984636645,0.000471225993144,6.02650619399
192,-0.0145,-0.0185,0.0315,-0.0195,-0.009,0.00434289397808,0.000636078780811,6.82760392123
193,-0.017,-0.01,0.046,-0.016,-0.019,0.00370195714409,0.0007437835846,4.97719662109
194,-0.0115,-0.014,0.0365,-0.017,-0.012,0.00385659658653,0.000612878904908,6.29259149833
195,-0.007,-0.008,0.033,-0.0155,-0.0065,0.00279163667898,0.000505689936154,5.52045132678
196,-0.0095,-0.018,0.024,-0.0185,-0.0125,0.00480945502215,0.0005500717608,8.74332289874
197,-0.014,-0.013,0.0335,-0.013,-0.0155,0.00349197515586,0.000587776565351,5.94099078069
198,-0.016,-0.015,0.03,-0.011,-0.0165,0.00346114641814,0.000578390072876,5.98410412013
199,-0.0095,-0.02,0.044,-0.016,-0.016,0.0044721489132,0.000680937107408,6.56763872103
200,-0.01,-0.0095,0.036,-0.0115,-0.0125,0.0027289807401,0.000539788780156,5.05564554216
201,-0.006,-0.019,0.011,-0.0155,-0.0085,0.0044130690592,0.000421751041681,10.4636826541
202,-0.006,-0.016,0.039,-0.0145,-0.0105,0.00357473754203,0.000573374276081,6.23456211964
203,-0.015,-0.009,0.0485,-0.013,-0.0115,0.00239679642152,0.000697276108817,3.43737063584
204,-0.018,-0.0135,0.043,-0.017,-0.0105,0.00333143091181,0.00071494104184,4.65972816896
205,-0.0155,-0.011,0.0145,-0.0095,-0.0055,0.00216598668654,0.000423455449361,5.1150284872
206,-0.006,-0.0135,0.014,-0.0105,-0.0125,0.00351118634356,0.00036268084351,9.68120154784
207,-0.017,-0.0085,0.041,-0.019,-0.012,0.00346628473022,0.000704567755719,4.91973227853
208,-0.0175,-0.0105,0.0225,-0.01,-0.0165,0.0030667056746,0.000532353384963,5.76065779091
209,-0.0185,-0.0075,0.022,-0.0185,-0.01,0.00349591517603,0.000596333138789,5.86235268281
210,-0.007,-0.015,0.028,-0.02,-0.01,0.00453307553629,0.000547933084201,8.27304586452
211,-0.0105,-0.013,0.0135,-0.0195,-0.0175,0.0052735236012,0.000543416942407,9.70437833212
212,-0.019,-0.0155,0.045,-0.019,-0.017,0.00438584834446,0.000784771156007,5.58869717738
213,-0.0125,-0.01,0.0185,-0.012,-0.0135,0.00327556275151,0.000456249500705,7.1793234764
214,-0.0195,-0.015,0.019,-0.02,-0.015,0.0048807180206,0.000658812374856,7.40835814092
215,-0.019,-0.006,0.0395,-0.009,-0.0185,0.0023144557888,0.000650561843087,3.55762609411
216,-0.0125,-0.008,0.0145,-0.006,-0.0055,0.00145686952386,0.000338820408183,4.29982813513
217,-0.0155,-0.0065,0.0465,-0.0055,-0.0195,0.00184393794316,0.000660975123148,2.78972366521
218,-0.019,-0.0145,0.0305,-0.01,-0.0155,0.00306535318383,0.000601918922304,5.09263468924
219,-0.009,-0.0095,0.0285,-0.0175,-0.009,0.00352425822168,0.000518518289272,6.79678671823
220,-0.018,-0.0055,0.0465,-0.0105,-0.015,0.00202910627182,0.000695635653108,2.91690953843
221,-0.0175,-0.01,0.031,-0.0085,-0.0065,0.00159418583917,0.00053388162282,2.98602868319
222,-0.0095,-0.018,0.047,-0.0065,-0.01,0.00214228641412,0.000622572559952,3.44102286533
223,-0.0185,-0.0095,0.0275,-0.011,-0.011,0.00244986792272,0.000555027920793,4.41395438129
224,-0.008,-0.007,0.043,-0.0135,-0.01,0.00248929694117,0.000594645863348,4.18618390307
225,-0.0055,-0.0055,0.0275,-0.02,-0.0155,0.00436875415696,0.000541103246922,8.0737903197
226,-0.011,-0.0155,0.049,-0.007,-0.01,0.00193004494631,0.000646956678746,2.9832676742
227,-0.0085,-0.0075,0.019,-0.012,-0.014,0.00322636309514,0.000412801154432,7.81578021402
228,-0.0175,-0.0125,0.0355,-0.0065,-0.0165,0.00238052725356,0.000591592488751,4.02393082878
229,-0.014,-0.012,0.0275,-0.013,-0.011,0.00309685278439,0.000526584711967,5.88101536943
230,-0.0145,-0.009,0.02,-0.0145,-0.02,0.00414851595599,0.00054644256651,7.59186090221
231,-0.0085,-0.02,0.0385,-0.007,-0.0145,0.00305629571774,0.000559006597321,5.46736967396
232,-0.0115,-0.0115,0.013,-0.009,-0.015,0.00322813704064,0.000405279008751,7.96522141767
233,-0.0075,-0.0145,0.019,-0.0075,-0.013,0.00301220501586,0.000377852208056,7.97191322859
234,-0.0195,-0.011,0.0395,-0.008,-0.0145,0.00214678313018,0.000642781827227,3.33983171155
235,-0.0085,-0.006,0.0355,-0.019,-0.0145,0.00388311358142,0.000599551589561,6.47669633278
236,-0.0105,-0.0055,0.043,-0.015,-0.0055,0.00208190773386,0.000609146875355,3.41774343444
237,-0.013,-0.0065,0.0115,-0.015,-0.018,0.00406112095033,0.000491509483935,8.26254850224
238,-0.0085,-0.0195,0.0105,-0.014,-0.0065,0.00395636719219,0.000419556824019,9.42987210717
239,-0.0165,-0.0065,0.035,-0.015,-0.0195,0.00357568652459,0.000646847649798,5.52786506329
240,-0.0165,-0.0155,0.0215,-0.016,-0.0115,0.00396872818214,0.000569737579157,6.96588802869
241,-0.0085,-0.014,0.0375,-0.016,-0.0135,0.00391233956017,0.000594601563558,6.57976668739
242,-0.0165,-0.0165,0.0105,-0.0075,-0.006,0.00240868932122,0.000436315327032,5.52052419888
243,-0.015,-0.0185,0.0315,-0.0085,-0.019,0.00359532437352,0.000581638897283,6.1813685266
244,-0.012,-0.006,0.0245,-0.0075,-0.0175,0.00252005720312,0.000452302522853,5.5716187193
245,-0.0095,-0.011,0.041,-0.0065,-0.019,0.00261343989484,0.000576199436327,4.53565159921
246,-0.0075,-0.0055,0.019,-0.013,-0.0095,0.00279991937261,0.0003876137691,7.22347758469
247,-0.013,-0.008,0.042,-0.018,-0.0135,0.0035101808021,0.000671569617505,5.22683086102
248,-0.0185,-0.0175,0.014,-0.0175,-0.0115,0.00448089920196,0.000598565333381,7.48606535003
249,-0.019,-0.0175,0.0495,-0.009,-0.009,0.00206667028538,0.000727516756798,2.84071846602
250,-0.013,-0.016,0.0305,-0.006,-0.0195,0.00312865279804,0.000530489735074,5.89766887309
251,-0.006,-0.0085,0.0295,-0.006,-0.0115,0.00194301503924,0.000409746167537,4.7419968585
252,-0.0185,-0.0085,0.025,-0.0145,-0.0075,0.00262723302846,0.000559736216093,4.69369848318
253,-0.0105,-0.019,0.015,-0.01,-0.0135,0.00382633970809,0.000439137261063,8.71331141162
254,-0.02,-0.0165,0.01,-0.0055,-0.0145,0.00285580983091,0.000505261197577,5.65214555285
255,-0.012,-0.012,0.0195,-0.015,-0.0165,0.00420286474338,0.000511278386442,8.22030591325
256,-0.0165,-0.011,0.0345,-0.014,-0.0185,0.00369375774237,0.000637299809476,5.79594986135
257,-0.0165,-0.0165,0.0315,-0.0195,-0.0095,0.00417361951302,0.000651975054281,6.40150184522
258,-0.0165,-0.011,0.0445,-0.0125,-0.011,0.00247801659298,0.000672988598339,3.68210783822
259,-0.01,-0.007,0.0355,-0.006,-0.018,0.00222129385383,0.000515371796637,4.31008035039
260,-0.0095,-0.0095,0.0355,-0.009,-0.018,0.0029113565013,0.000535821381807,5.43344592087
261,-0.0055,-0.0145,0.0375,-0.0135,-0.018,0.00409531310405,0.000576195652069,7.1075043509
262,-0.0155,-0.009,0.019,-0.0095,-0.007,0.00205169457291,0.000440733171653,4.6551852796
263,-0.007,-0.0065,0.039,-0.008,-0.0095,0.00165098609893,0.000511376322686,3.22851494229
264,-0.014,-0.0075,0.0395,-0.0175,-0.02,0.00407025063508,0.000682900829022,5.96023677538
265,-0.0175,-0.0125,0.0485,-0.016,-0.019,0.00383321774723,0.000772213354971,4.96393609687
266,-0.0095,-0.019,0.0295,-0.018,-0.016,0.00503692747589,0.000594630294598,8.47068762163
267,-0.0175,-0.0085,0.026,-0.0095,-0.0105,0.00214500428494,0.000516483946533,4.15308994469
268,-0.0165,-0.017,0.0485,-0.015,-0.0085,0.00301687902383,0.00073161791962,4.12357180288
