,$US,AAPL,ACN,AMGN,AMT,ANTM,EBAY,EWO,EWT,EZU,FXI,GOOGL,GRMN,IAI,ICLR,INTC,IXG,LPX,MSFT,PCLN,PPA,PYPL,RHHBY,SAFM,SH,SONVY,UL,XLV,portfolioreturn,portfoliostandarddeviation,returnoverrisk
23,0.01,0.05,0.1,0.05,0.03,0.03,0.05,0.01,0.05,0.01,0.04,0.02,0.05,0.01,0.02,0.06,0.09,0.03,0.09,0.01,0.08,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.176871652032,0.00456450392699,38.7493701093
24,0.01,0.03,0.02,0.04,0.07,0.02,0.02,0.05,0.03,0.01,0.02,0.01,0.03,0.05,0.09,0.04,0.01,0.01,0.01,0.16,0.04,0.04,0.01,0.09,0.01,0.06,0.01,0.01,0.243451518018,0.00493045311002,49.3771084697
25,0.03,0.11,0.03,0.08,0.03,0.02,0.03,0.01,0.07,0.02,0.03,0.04,0.01,0.01,0.06,0.01,0.05,0.08,0.01,0.01,0.02,0.09,0.02,0.01,0.01,0.02,0.05,0.04,0.210063227692,0.00482097424959,43.5727752974
26,0.01,0.04,0.01,0.03,0.05,0.05,0.04,0.01,0.01,0.02,0.03,0.03,0.06,0.04,0.05,0.02,0.08,0.03,0.05,0.05,0.02,0.03,0.04,0.01,0.05,0.09,0.01,0.04,0.187458929733,0.00481602552549,38.9239900704
27,0.05,0.04,0.02,0.03,0.04,0.05,0.07,0.02,0.08,0.03,0.02,0.03,0.02,0.01,0.13,0.05,0.03,0.06,0.02,0.01,0.04,0.05,0.03,0.01,0.01,0.03,0.01,0.01,0.210179406358,0.0050584066823,41.5505157174
28,0.02,0.04,0.01,0.08,0.01,0.05,0.01,0.03,0.06,0.04,0.03,0.04,0.04,0.01,0.01,0.02,0.03,0.03,0.08,0.07,0.08,0.03,0.03,0.02,0.01,0.08,0.01,0.03,0.199592069627,0.00465999150529,42.8309943055
29,0.03,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0.03,0.03,0.08,0.01,0.13,0.03,0.04,0.06,0.02,0.02,0.02,0.07,0.06,0.01,0.01,0.01,0.06,0.03,0.09,0.05,0.168326648247,0.00421111023977,39.9720355591
30,0.02,0.01,0.02,0.01,0.05,0.03,0.03,0.01,0.03,0.02,0.04,0.04,0.03,0.11,0.02,0.04,0.09,0.07,0.04,0.08,0.01,0.02,0.06,0.01,0.06,0.03,0.01,0.01,0.157902641062,0.00496715930437,31.7893249211
31,0.06,0.05,0.05,0.04,0.04,0.01,0.02,0.08,0.04,0.02,0.08,0.01,0.04,0.01,0.02,0.02,0.04,0.03,0.05,0.06,0.01,0.06,0.02,0.01,0.01,0.04,0.01,0.07,0.209310476726,0.00420735498433,49.7487085128
32,0.02,0.06,0.18,0.11,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.05,0.05,0.07,0.01,0.01,0.01,0.02,0.04,0.01,0.02,0.01,0.03,0.11,0.01,0.18466893528,0.00487359153031,37.8917548037
33,0.01,0.03,0.02,0.01,0.14,0.01,0.03,0.01,0.02,0.04,0.08,0.01,0.07,0.03,0.06,0.06,0.01,0.01,0.02,0.01,0.06,0.06,0.02,0.02,0.02,0.05,0.08,0.01,0.224239165272,0.00471195495851,47.5894118782
34,0.01,0.02,0.1,0.01,0.03,0.08,0.01,0.11,0.04,0.11,0.01,0.04,0.02,0.01,0.01,0.01,0.06,0.06,0.01,0.02,0.02,0.06,0.01,0.02,0.01,0.09,0.01,0.01,0.251825644084,0.00531538481392,47.3767474792
35,0.02,0.02,0.03,0.07,0.02,0.09,0.07,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.07,0.01,0.01,0.05,0.01,0.05,0.01,0.01,0.2,0.05,0.02,0.201789612379,0.00558404380416,36.1368247558
36,0.01,0.09,0.03,0.04,0.11,0.02,0.03,0.01,0.02,0.06,0.05,0.01,0.03,0.04,0.1,0.01,0.04,0.09,0.01,0.02,0.01,0.03,0.01,0.01,0.05,0.02,0.04,0.01,0.194852916347,0.00518966449226,37.5463417023
37,0.03,0.06,0.02,0.01,0.03,0.14,0.07,0.02,0.02,0.05,0.01,0.02,0.03,0.02,0.04,0.01,0.02,0.02,0.01,0.04,0.01,0.01,0.05,0.11,0.08,0.03,0.01,0.03,0.195299800786,0.00503625185941,38.77879944
38,0.08,0.01,0.01,0.02,0.07,0.01,0.01,0.01,0.02,0.07,0.08,0.05,0.03,0.01,0.01,0.03,0.05,0.05,0.01,0.08,0.01,0.03,0.08,0.07,0.03,0.01,0.02,0.04,0.181814247215,0.00439302050601,41.387070005
39,0.04,0.02,0.02,0.04,0.01,0.06,0.02,0.13,0.01,0.05,0.1,0.04,0.02,0.04,0.02,0.02,0.04,0.03,0.04,0.06,0.01,0.01,0.02,0.08,0.01,0.02,0.02,0.02,0.226319036247,0.00421879603512,53.6454083969
40,0.01,0.08,0.01,0.01,0.02,0.08,0.03,0.02,0.01,0.01,0.09,0.06,0.06,0.03,0.04,0.02,0.01,0.02,0.01,0.05,0.02,0.04,0.01,0.04,0.03,0.09,0.09,0.01,0.217609820223,0.00470983273996,46.2033011017
41,0.15,0.04,0.04,0.02,0.01,0.01,0.02,0.06,0.04,0.02,0.02,0.04,0.01,0.07,0.02,0.02,0.08,0.01,0.06,0.02,0.02,0.01,0.06,0.02,0.04,0.07,0.01,0.01,0.161673690886,0.00500105814784,32.3278966385
42,0.03,0.04,0.07,0.01,0.07,0.04,0.04,0.01,0.02,0.05,0.04,0.02,0.03,0.01,0.01,0.01,0.06,0.03,0.04,0.06,0.03,0.03,0.06,0.05,0.05,0.01,0.01,0.07,0.179263188658,0.00431419903719,41.5519050263
43,0.01,0.04,0.01,0.04,0.04,0.06,0.04,0.01,0.02,0.01,0.01,0.07,0.03,0.01,0.01,0.07,0.07,0.06,0.03,0.04,0.13,0.01,0.02,0.03,0.02,0.06,0.03,0.02,0.185841490595,0.00487622556279,38.1117502055
44,0.03,0.07,0.03,0.06,0.02,0.01,0.03,0.02,0.02,0.01,0.02,0.1,0.03,0.01,0.03,0.04,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.08,0.02,0.06,0.15,0.03,0.198224662971,0.00457989244444,43.2815105105
45,0.08,0.05,0.03,0.01,0.06,0.06,0.01,0.06,0.01,0.01,0.01,0.01,0.03,0.03,0.08,0.03,0.02,0.01,0.01,0.02,0.01,0.1,0.03,0.07,0.04,0.06,0.02,0.04,0.25354227597,0.00484717818506,52.3071911718
46,0.02,0.03,0.03,0.03,0.12,0.01,0.02,0.02,0.06,0.02,0.04,0.02,0.04,0.04,0.02,0.01,0.06,0.05,0.06,0.07,0.01,0.03,0.01,0.06,0.02,0.01,0.03,0.06,0.202913203548,0.00433321075518,46.8274485162
47,0.12,0.07,0.01,0.03,0.04,0.01,0.04,0.01,0.03,0.01,0.04,0.01,0.03,0.01,0.08,0.02,0.01,0.05,0.02,0.02,0.06,0.05,0.01,0.1,0.05,0.01,0.05,0.01,0.211289024396,0.0050244542788,42.0521339576
48,0.02,0.01,0.03,0.1,0.01,0.03,0.05,0.01,0.06,0.03,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.03,0.11,0.04,0.03,0.01,0.04,0.03,0.04,0.04,0.06,0.09,0.162138128951,0.00401974144159,40.335462195
49,0.01,0.13,0.01,0.03,0.01,0.03,0.02,0.03,0.06,0.02,0.03,0.01,0.05,0.11,0.03,0.03,0.02,0.02,0.01,0.01,0.05,0.05,0.03,0.03,0.01,0.05,0.06,0.05,0.205353444982,0.00467133573905,43.9603266503
50,0.03,0.04,0.01,0.01,0.01,0.03,0.13,0.05,0.01,0.05,0.11,0.05,0.01,0.04,0.1,0.02,0.05,0.01,0.02,0.01,0.01,0.02,0.01,0.07,0.01,0.04,0.03,0.02,0.224907149482,0.00438323442367,51.310773676
51,0.03,0.01,0.1,0.03,0.07,0.06,0.01,0.1,0.01,0.03,0.02,0.03,0.01,0.02,0.09,0.04,0.01,0.01,0.03,0.03,0.02,0.1,0.02,0.01,0.03,0.05,0.02,0.01,0.256362534152,0.00491886345524,52.1182457056
52,0.03,0.05,0.02,0.01,0.04,0.09,0.02,0.01,0.01,0.03,0.01,0.01,0.14,0.03,0.01,0.04,0.1,0.02,0.02,0.06,0.01,0.09,0.01,0.02,0.02,0.03,0.05,0.02,0.211145833635,0.00521835788643,40.4621220373
53,0.04,0.04,0.02,0.05,0.03,0.04,0.03,0.04,0.02,0.02,0.02,0.11,0.05,0.08,0.04,0.02,0.02,0.05,0.02,0.08,0.03,0.05,0.02,0.01,0.01,0.03,0.01,0.02,0.194404686411,0.00467959221466,41.5430827074
54,0.03,0.01,0.02,0.06,0.01,0.02,0.04,0.06,0.03,0.12,0.07,0.04,0.01,0.04,0.03,0.02,0.04,0.02,0.04,0.01,0.02,0.03,0.08,0.06,0.03,0.02,0.02,0.02,0.202732104951,0.00443638997878,45.6975391975
55,0.02,0.12,0.02,0.02,0.02,0.01,0.02,0.06,0.08,0.07,0.01,0.1,0.02,0.04,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.04,0.01,0.03,0.1,0.03,0.03,0.197129220155,0.00494498924475,39.864438606
56,0.06,0.08,0.05,0.02,0.04,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.05,0.02,0.02,0.03,0.08,0.09,0.08,0.01,0.02,0.03,0.02,0.04,0.02,0.06,0.188735744222,0.00466037007421,40.4980165129
57,0.05,0.01,0.05,0.11,0.03,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.01,0.06,0.02,0.02,0.05,0.01,0.03,0.01,0.04,0.01,0.04,0.06,0.04,0.13,0.02,0.02,0.190702366622,0.00478726193645,39.8353733623
58,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.1,0.01,0.01,0.05,0.01,0.04,0.01,0.07,0.08,0.05,0.01,0.07,0.06,0.08,0.01,0.03,0.07,0.173042689791,0.00407487943822,42.465720131
59,0.09,0.01,0.08,0.02,0.05,0.04,0.01,0.01,0.06,0.01,0.04,0.01,0.02,0.03,0.06,0.05,0.07,0.01,0.03,0.03,0.03,0.01,0.02,0.06,0.08,0.01,0.05,0.01,0.168917997558,0.00464579808512,36.3593067247
60,0.01,0.04,0.04,0.02,0.06,0.05,0.03,0.02,0.06,0.01,0.02,0.02,0.01,0.03,0.03,0.02,0.04,0.03,0.06,0.03,0.04,0.07,0.04,0.06,0.02,0.02,0.05,0.07,0.223968747481,0.00420485633416,53.2643043382
61,0.01,0.02,0.02,0.01,0.07,0.08,0.04,0.02,0.01,0.01,0.04,0.01,0.02,0.06,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.05,0.07,0.05,0.05,0.04,0.01,0.18,0.192054353926,0.00338323464023,56.7664895725
62,0.05,0.04,0.05,0.03,0.02,0.04,0.12,0.03,0.03,0.01,0.01,0.04,0.03,0.04,0.05,0.08,0.01,0.04,0.07,0.04,0.02,0.06,0.01,0.01,0.01,0.01,0.02,0.03,0.194080042361,0.00482494352023,40.2243138282
63,0.08,0.04,0.03,0.03,0.02,0.08,0.02,0.01,0.01,0.07,0.1,0.01,0.02,0.01,0.16,0.01,0.05,0.02,0.01,0.02,0.05,0.01,0.01,0.01,0.01,0.07,0.02,0.02,0.207400451476,0.00481286271718,43.0929498022
64,0.02,0.01,0.01,0.02,0.01,0.03,0.02,0.03,0.02,0.06,0.05,0.03,0.13,0.01,0.02,0.01,0.06,0.01,0.01,0.07,0.02,0.02,0.13,0.03,0.02,0.01,0.05,0.09,0.161691991762,0.00399810097364,40.4421981406
65,0.01,0.03,0.04,0.04,0.08,0.01,0.01,0.04,0.03,0.06,0.09,0.04,0.02,0.01,0.06,0.07,0.01,0.01,0.11,0.02,0.01,0.02,0.01,0.04,0.04,0.06,0.01,0.02,0.220589633594,0.00448087727439,49.2291174442
66,0.04,0.04,0.12,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.07,0.02,0.04,0.06,0.03,0.03,0.01,0.11,0.02,0.04,0.03,0.01,0.06,0.05,0.01,0.01,0.06,0.203406885829,0.00423174371084,48.0669198628
67,0.01,0.02,0.03,0.01,0.02,0.02,0.07,0.02,0.05,0.01,0.07,0.01,0.02,0.01,0.01,0.04,0.02,0.02,0.04,0.02,0.07,0.07,0.01,0.01,0.12,0.03,0.06,0.11,0.178568837439,0.00382643261717,46.6671846351
68,0.01,0.03,0.03,0.01,0.08,0.11,0.09,0.06,0.03,0.05,0.01,0.01,0.07,0.03,0.03,0.01,0.06,0.06,0.01,0.08,0.01,0.03,0.01,0.04,0.01,0.01,0.01,0.01,0.207833823167,0.00523358030547,39.7115953202
69,0.01,0.06,0.02,0.13,0.01,0.05,0.03,0.01,0.05,0.01,0.1,0.01,0.02,0.02,0.03,0.08,0.01,0.01,0.05,0.05,0.03,0.08,0.01,0.01,0.06,0.01,0.03,0.01,0.186656686294,0.0044112898551,42.3134032051
70,0.01,0.18,0.04,0.02,0.02,0.01,0.07,0.01,0.05,0.05,0.03,0.02,0.03,0.01,0.07,0.02,0.05,0.01,0.01,0.02,0.08,0.01,0.05,0.02,0.02,0.03,0.03,0.03,0.178844489983,0.00504724455862,35.4340844606
71,0.03,0.01,0.03,0.01,0.01,0.03,0.04,0.01,0.08,0.03,0.08,0.06,0.02,0.02,0.03,0.01,0.02,0.01,0.05,0.08,0.03,0.04,0.05,0.05,0.01,0.02,0.1,0.04,0.199317101677,0.00408410358794,48.8031455093
72,0.02,0.02,0.03,0.01,0.03,0.02,0.02,0.02,0.03,0.01,0.05,0.01,0.12,0.06,0.02,0.09,0.01,0.02,0.01,0.02,0.1,0.05,0.05,0.07,0.01,0.04,0.04,0.02,0.215959567526,0.00446279639704,48.3910867341
73,0.14,0.01,0.07,0.06,0.15,0.01,0.02,0.02,0.01,0.01,0.07,0.01,0.02,0.01,0.03,0.04,0.02,0.01,0.01,0.01,0.03,0.03,0.04,0.04,0.02,0.06,0.03,0.02,0.182849385551,0.0047439599134,38.5436194421
74,0.04,0.01,0.02,0.02,0.05,0.01,0.01,0.04,0.05,0.01,0.09,0.02,0.05,0.03,0.03,0.01,0.03,0.01,0.04,0.01,0.04,0.01,0.05,0.01,0.04,0.12,0.09,0.06,0.188131417395,0.00416630857269,45.155420947
75,0.08,0.01,0.01,0.11,0.04,0.02,0.07,0.02,0.09,0.01,0.04,0.02,0.01,0.02,0.08,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.03,0.07,0.05,0.08,0.01,0.03,0.184046888763,0.00463752718106,39.6864280418
76,0.02,0.09,0.01,0.05,0.06,0.02,0.07,0.06,0.03,0.01,0.08,0.03,0.16,0.02,0.03,0.05,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.04,0.03,0.01,0.02,0.175972850558,0.0047023381942,37.4224148266
77,0.03,0.11,0.01,0.01,0.02,0.02,0.05,0.01,0.01,0.04,0.02,0.05,0.04,0.01,0.03,0.11,0.03,0.02,0.02,0.12,0.02,0.01,0.06,0.03,0.04,0.01,0.04,0.03,0.157423682219,0.00497204907718,31.6617313656
78,0.02,0.04,0.05,0.03,0.01,0.01,0.07,0.03,0.09,0.03,0.01,0.05,0.01,0.05,0.03,0.03,0.05,0.05,0.02,0.01,0.02,0.07,0.04,0.02,0.02,0.03,0.01,0.1,0.199056702761,0.00410052178196,48.5442373791
79,0.09,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.01,0.05,0.03,0.01,0.11,0.07,0.02,0.04,0.03,0.05,0.03,0.02,0.05,0.11,0.01,0.04,0.07,0.01,0.02,0.176524199979,0.00478959415724,36.8557740352
80,0.08,0.02,0.01,0.1,0.04,0.01,0.01,0.07,0.03,0.01,0.02,0.01,0.05,0.02,0.05,0.03,0.05,0.08,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.09,0.1,0.177237180445,0.00409750391422,43.254914249
81,0.02,0.02,0.06,0.09,0.02,0.02,0.03,0.05,0.06,0.03,0.01,0.02,0.03,0.06,0.01,0.04,0.07,0.03,0.02,0.01,0.02,0.12,0.03,0.01,0.04,0.05,0.02,0.01,0.2205593728,0.00488093627171,45.1879230792
82,0.02,0.05,0.01,0.03,0.08,0.04,0.02,0.04,0.02,0.01,0.07,0.09,0.01,0.03,0.02,0.01,0.01,0.09,0.06,0.02,0.07,0.03,0.02,0.06,0.02,0.05,0.01,0.01,0.223511685074,0.00465680898317,47.9967475329
83,0.01,0.07,0.01,0.04,0.12,0.03,0.02,0.01,0.01,0.03,0.01,0.02,0.08,0.03,0.02,0.04,0.04,0.02,0.13,0.01,0.01,0.05,0.03,0.01,0.05,0.02,0.07,0.01,0.192514183927,0.00517229009145,37.2202990404
84,0.01,0.06,0.04,0.02,0.02,0.01,0.07,0.05,0.01,0.06,0.01,0.01,0.03,0.02,0.04,0.09,0.03,0.05,0.01,0.02,0.02,0.05,0.01,0.13,0.01,0.08,0.02,0.02,0.262794906357,0.00512341393827,51.2929288016
85,0.02,0.03,0.1,0.01,0.06,0.05,0.03,0.01,0.01,0.04,0.03,0.02,0.05,0.01,0.01,0.03,0.02,0.12,0.04,0.04,0.05,0.05,0.02,0.03,0.04,0.01,0.02,0.05,0.196179642998,0.00486573930974,40.3185683634
86,0.01,0.05,0.02,0.01,0.06,0.01,0.06,0.01,0.06,0.04,0.04,0.01,0.01,0.04,0.04,0.01,0.08,0.04,0.01,0.03,0.02,0.04,0.11,0.02,0.06,0.01,0.03,0.07,0.164329599446,0.00437225129118,37.5846648562
87,0.09,0.03,0.07,0.02,0.01,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.03,0.01,0.1,0.02,0.04,0.01,0.04,0.01,0.02,0.04,0.06,0.13,0.01,0.01,0.09,0.02,0.232463939477,0.00475234699331,48.9156073418
88,0.09,0.02,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.15,0.01,0.06,0.07,0.01,0.02,0.04,0.06,0.03,0.03,0.01,0.04,0.05,0.01,0.02,0.06,0.01,0.01,0.07,0.181459475849,0.00470125840384,38.5980646588
89,0.04,0.01,0.11,0.02,0.01,0.03,0.01,0.03,0.03,0.06,0.04,0.03,0.02,0.01,0.01,0.03,0.09,0.13,0.04,0.05,0.01,0.06,0.02,0.05,0.01,0.01,0.01,0.03,0.214975950414,0.00500580384419,42.9453404698
90,0.05,0.06,0.11,0.14,0.02,0.09,0.02,0.02,0.01,0.01,0.01,0.05,0.01,0.01,0.1,0.02,0.01,0.01,0.02,0.03,0.07,0.05,0.01,0.02,0.02,0.01,0.01,0.01,0.193680708121,0.00480468932799,40.310766191
91,0.03,0.02,0.03,0.05,0.01,0.02,0.02,0.11,0.03,0.01,0.09,0.06,0.09,0.03,0.02,0.01,0.05,0.02,0.03,0.03,0.03,0.01,0.05,0.04,0.05,0.01,0.02,0.03,0.183763501259,0.00399929037702,45.9490269361
92,0.08,0.04,0.03,0.02,0.01,0.04,0.04,0.04,0.16,0.01,0.03,0.01,0.02,0.04,0.01,0.01,0.01,0.04,0.03,0.06,0.05,0.07,0.02,0.01,0.06,0.01,0.02,0.03,0.180935295897,0.00473275007924,38.2304776013
93,0.04,0.02,0.01,0.11,0.04,0.02,0.06,0.06,0.02,0.01,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0.03,0.03,0.02,0.03,0.05,0.01,0.03,0.03,0.21,0.01,0.04,0.227120706363,0.00524862151358,43.2724489231
94,0.04,0.02,0.09,0.1,0.03,0.01,0.06,0.02,0.01,0.04,0.05,0.02,0.02,0.01,0.02,0.01,0.03,0.04,0.02,0.01,0.02,0.01,0.01,0.08,0.09,0.04,0.01,0.09,0.170761028314,0.00404388511556,42.226973179
95,0.03,0.1,0.06,0.02,0.06,0.01,0.02,0.01,0.01,0.02,0.04,0.04,0.02,0.07,0.13,0.06,0.03,0.02,0.01,0.01,0.04,0.01,0.06,0.01,0.04,0.02,0.04,0.01,0.176444268549,0.00483898696448,36.4630592815
96,0.16,0.01,0.01,0.01,0.02,0.06,0.02,0.06,0.02,0.02,0.13,0.03,0.01,0.08,0.01,0.02,0.05,0.03,0.08,0.02,0.03,0.01,0.01,0.02,0.04,0.01,0.02,0.01,0.16532912102,0.00444988011268,37.1536124195
97,0.02,0.08,0.02,0.03,0.04,0.05,0.01,0.01,0.08,0.04,0.03,0.06,0.04,0.03,0.02,0.02,0.02,0.01,0.08,0.03,0.02,0.01,0.07,0.05,0.01,0.04,0.04,0.04,0.188858765948,0.00437384019371,43.1791646663
98,0.03,0.01,0.01,0.06,0.02,0.01,0.02,0.05,0.03,0.05,0.01,0.07,0.02,0.05,0.01,0.15,0.04,0.01,0.02,0.03,0.04,0.02,0.05,0.04,0.03,0.01,0.02,0.09,0.173498987068,0.00390206971774,44.4633232152
99,0.03,0.02,0.06,0.04,0.05,0.08,0.03,0.06,0.03,0.07,0.04,0.01,0.01,0.01,0.04,0.07,0.03,0.02,0.04,0.02,0.05,0.02,0.03,0.02,0.03,0.02,0.05,0.02,0.195622936146,0.004679389138,41.805229353
