,AAPL,ACN,AMGN,AMT,ANTM,EBAY,EWO,EWT,EZU,FXI,GOOGL,GRMN,IAI,ICLR,INTC,IXG,LPX,MSFT,PCLN,PPA,PYPL,RHHBY,SAFM,SH,SONVY,UL,USD,XLV,portfolioreturn,portfoliostandarddeviation,returnoverrisk
34,0.02,0.08,0.07,0.1,0.02,0.01,0.18,0.08,0.03,0.03,0.14,0.14,0.06,0.02,0.05,0.12,0.05,0.04,0.04,0.07,0.01,0.05,0.07,0.1,0.21,0.03,0.08,0.1,0.438042362334,0.00952553354364,45.9861235412
35,0.07,0.02,0.18,0.05,0.03,0.06,0.03,0.08,0.01,0.05,0.11,0.03,0.02,0.18,0.08,0.01,0.03,0.04,0.13,0.02,0.01,0.11,0.01,0.14,0.12,0.14,0.16,0.08,0.383057816277,0.0106912624439,35.8290537051
36,0.08,0.04,0.06,0.02,0.01,0.03,0.04,0.05,0.04,0.05,0.24,0.08,0.16,0.05,0.01,0.13,0.05,0.22,0.16,0.05,0.03,0.03,0.17,0.03,0.06,0.04,0.02,0.05,0.431944179034,0.0114791237447,37.6286717209
37,0.06,0.1,0.03,0.15,0.07,0.03,0.09,0.08,0.16,0.11,0.15,0.08,0.05,0.02,0.11,0.01,0.02,0.02,0.02,0.06,0.02,0.03,0.21,0.13,0.13,0.02,0.03,0.01,0.46303148526,0.0102662257959,45.102406129
38,0.23,0.16,0.05,0.01,0.02,0.02,0.12,0.1,0.14,0.07,0.01,0.03,0.02,0.01,0.04,0.05,0.09,0.01,0.27,0.02,0.09,0.04,0.07,0.06,0.12,0.07,0.06,0.02,0.448088755955,0.0127978920533,35.0127000672
39,0.05,0.24,0.07,0.04,0.01,0.03,0.08,0.16,0.06,0.01,0.02,0.09,0.05,0.02,0.09,0.08,0.01,0.02,0.05,0.07,0.07,0.09,0.04,0.02,0.07,0.35,0.01,0.1,0.380503095156,0.0113859068449,33.4187781736
40,0.02,0.04,0.07,0.03,0.18,0.04,0.03,0.03,0.01,0.01,0.04,0.07,0.21,0.12,0.02,0.13,0.19,0.15,0.15,0.05,0.07,0.06,0.08,0.01,0.02,0.01,0.12,0.04,0.457457409948,0.010039394827,45.5662336057
41,0.12,0.19,0.03,0.22,0.02,0.11,0.08,0.07,0.03,0.01,0.01,0.12,0.1,0.01,0.04,0.07,0.06,0.01,0.12,0.14,0.1,0.02,0.02,0.03,0.02,0.14,0.02,0.09,0.397073940647,0.0107601366661,36.9023138802
42,0.01,0.01,0.02,0.04,0.06,0.08,0.05,0.01,0.09,0.07,0.06,0.15,0.08,0.02,0.01,0.19,0.23,0.06,0.05,0.19,0.02,0.2,0.04,0.01,0.04,0.05,0.1,0.06,0.388955863653,0.00974482247312,39.9141046157
43,0.11,0.03,0.01,0.3,0.09,0.03,0.14,0.05,0.01,0.02,0.03,0.08,0.03,0.06,0.05,0.17,0.08,0.02,0.02,0.15,0.05,0.07,0.11,0.1,0.02,0.01,0.11,0.05,0.467826893701,0.0103185911653,45.3382526943
44,0.18,0.03,0.19,0.01,0.09,0.09,0.04,0.19,0.06,0.01,0.05,0.08,0.05,0.02,0.06,0.13,0.06,0.01,0.06,0.02,0.22,0.02,0.12,0.04,0.06,0.02,0.05,0.04,0.482443737837,0.0120541817881,40.0229353033
45,0.09,0.08,0.02,0.03,0.07,0.07,0.05,0.1,0.04,0.06,0.02,0.05,0.01,0.03,0.25,0.18,0.03,0.14,0.01,0.26,0.1,0.03,0.04,0.02,0.1,0.01,0.09,0.02,0.469174307229,0.0113307739311,41.4070839364
46,0.05,0.07,0.08,0.09,0.01,0.06,0.28,0.17,0.08,0.01,0.08,0.07,0.05,0.05,0.11,0.05,0.01,0.04,0.08,0.03,0.18,0.02,0.01,0.13,0.05,0.02,0.02,0.1,0.465580266112,0.0100276167734,46.4298024779
47,0.16,0.11,0.01,0.2,0.08,0.06,0.04,0.03,0.17,0.03,0.09,0.01,0.01,0.04,0.02,0.01,0.14,0.02,0.05,0.09,0.05,0.04,0.11,0.01,0.16,0.03,0.11,0.12,0.501714099836,0.0107893118661,46.5010286162
48,0.1,0.1,0.07,0.1,0.04,0.01,0.02,0.07,0.04,0.01,0.06,0.04,0.23,0.05,0.03,0.04,0.08,0.05,0.03,0.21,0.04,0.2,0.21,0.01,0.03,0.04,0.06,0.03,0.43868534412,0.0114754959594,38.2280073709
49,0.05,0.04,0.15,0.08,0.11,0.02,0.01,0.08,0.17,0.02,0.02,0.13,0.17,0.1,0.17,0.1,0.07,0.06,0.03,0.11,0.09,0.02,0.03,0.02,0.09,0.01,0.04,0.01,0.426459379964,0.0104029202423,40.9941987473
50,0.06,0.17,0.04,0.09,0.14,0.06,0.1,0.15,0.02,0.03,0.12,0.04,0.12,0.11,0.05,0.06,0.11,0.16,0.05,0.01,0.02,0.1,0.02,0.01,0.04,0.07,0.03,0.02,0.395861132514,0.0113735392823,34.8054482153
51,0.02,0.08,0.11,0.02,0.05,0.03,0.04,0.09,0.01,0.03,0.12,0.17,0.07,0.12,0.02,0.06,0.05,0.02,0.06,0.03,0.16,0.01,0.03,0.11,0.22,0.02,0.02,0.23,0.443357696082,0.00801903887118,55.2881340526
52,0.15,0.06,0.03,0.08,0.03,0.07,0.03,0.01,0.15,0.01,0.05,0.01,0.19,0.05,0.19,0.06,0.07,0.15,0.06,0.07,0.05,0.01,0.16,0.09,0.07,0.02,0.01,0.07,0.431525062201,0.0114031268723,37.8426958706
53,0.23,0.09,0.11,0.03,0.05,0.07,0.02,0.05,0.05,0.01,0.11,0.08,0.1,0.14,0.02,0.1,0.02,0.14,0.02,0.04,0.06,0.01,0.05,0.03,0.29,0.01,0.02,0.05,0.451697625079,0.0129642065706,34.8419027897
54,0.24,0.07,0.26,0.05,0.05,0.01,0.05,0.01,0.01,0.05,0.08,0.13,0.19,0.15,0.01,0.05,0.02,0.05,0.02,0.04,0.01,0.01,0.05,0.24,0.03,0.02,0.03,0.07,0.308256931977,0.0124097593504,24.83987991
55,0.09,0.05,0.11,0.03,0.03,0.3,0.03,0.11,0.04,0.03,0.08,0.05,0.03,0.04,0.07,0.02,0.07,0.01,0.11,0.21,0.17,0.01,0.08,0.08,0.02,0.05,0.04,0.04,0.425960634756,0.0108870320008,39.1255058979
56,0.03,0.07,0.02,0.17,0.12,0.02,0.09,0.06,0.19,0.06,0.11,0.03,0.07,0.01,0.09,0.01,0.01,0.04,0.14,0.24,0.02,0.08,0.01,0.03,0.01,0.1,0.09,0.08,0.408060836145,0.00992981592855,41.0945015578
57,0.07,0.02,0.06,0.02,0.11,0.06,0.06,0.04,0.05,0.01,0.01,0.09,0.09,0.07,0.06,0.09,0.05,0.09,0.1,0.12,0.13,0.12,0.01,0.03,0.04,0.12,0.12,0.16,0.442133555991,0.00940112327827,47.0298647198
58,0.07,0.01,0.13,0.16,0.06,0.01,0.08,0.03,0.02,0.16,0.07,0.03,0.09,0.01,0.01,0.13,0.37,0.04,0.04,0.09,0.03,0.03,0.02,0.01,0.05,0.01,0.06,0.18,0.397161712529,0.0100886495747,39.3671828514
59,0.03,0.04,0.06,0.05,0.03,0.02,0.02,0.01,0.18,0.05,0.06,0.12,0.16,0.15,0.05,0.09,0.04,0.03,0.01,0.14,0.08,0.04,0.01,0.08,0.12,0.02,0.24,0.07,0.505247432514,0.00919099724524,54.9719925958
60,0.32,0.07,0.02,0.08,0.08,0.08,0.02,0.05,0.03,0.07,0.05,0.02,0.08,0.06,0.05,0.03,0.04,0.03,0.2,0.07,0.1,0.07,0.01,0.04,0.02,0.05,0.24,0.02,0.470819623052,0.0135414952867,34.7686583412
61,0.01,0.01,0.02,0.04,0.15,0.11,0.06,0.12,0.02,0.02,0.06,0.06,0.06,0.11,0.07,0.05,0.02,0.03,0.02,0.11,0.13,0.16,0.21,0.12,0.02,0.09,0.11,0.01,0.499540787026,0.00973179842652,51.3307782521
62,0.03,0.02,0.06,0.04,0.09,0.03,0.15,0.05,0.11,0.07,0.15,0.02,0.05,0.1,0.02,0.02,0.02,0.01,0.08,0.04,0.16,0.05,0.22,0.12,0.05,0.06,0.08,0.1,0.550583493299,0.00918680242756,59.9320054655
63,0.06,0.32,0.06,0.03,0.05,0.06,0.19,0.05,0.11,0.04,0.11,0.02,0.04,0.03,0.01,0.17,0.04,0.01,0.02,0.02,0.01,0.11,0.02,0.05,0.09,0.03,0.01,0.24,0.365430956511,0.00953647992915,38.3192707608
64,0.07,0.04,0.33,0.08,0.1,0.07,0.02,0.02,0.08,0.07,0.1,0.01,0.01,0.02,0.09,0.02,0.27,0.02,0.14,0.04,0.06,0.12,0.03,0.02,0.01,0.03,0.01,0.12,0.322203004518,0.0108904670679,29.5857838336
65,0.01,0.13,0.33,0.03,0.02,0.04,0.09,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.16,0.07,0.06,0.07,0.04,0.25,0.06,0.02,0.16,0.01,0.08,0.19,0.03,0.02,0.432160487464,0.0119333762247,36.2144358248
66,0.04,0.05,0.02,0.11,0.14,0.07,0.09,0.05,0.11,0.01,0.05,0.02,0.07,0.08,0.01,0.15,0.06,0.02,0.04,0.02,0.05,0.02,0.1,0.05,0.16,0.07,0.01,0.33,0.439290177949,0.00735621130196,59.7169058795
67,0.02,0.04,0.09,0.08,0.03,0.03,0.06,0.09,0.07,0.04,0.25,0.13,0.18,0.14,0.12,0.03,0.02,0.08,0.02,0.13,0.01,0.01,0.01,0.15,0.03,0.02,0.08,0.04,0.372201772435,0.00998387566825,37.2802892186
68,0.09,0.14,0.04,0.04,0.04,0.04,0.12,0.02,0.27,0.04,0.04,0.11,0.07,0.09,0.01,0.05,0.06,0.09,0.03,0.23,0.1,0.13,0.02,0.02,0.03,0.01,0.03,0.04,0.448226616669,0.0106394168291,42.1288707709
69,0.02,0.01,0.03,0.05,0.06,0.07,0.06,0.36,0.01,0.08,0.16,0.01,0.09,0.08,0.01,0.05,0.03,0.08,0.18,0.03,0.01,0.07,0.15,0.18,0.07,0.01,0.02,0.02,0.378886902279,0.0104002988378,36.4303861061
70,0.01,0.05,0.1,0.11,0.02,0.14,0.07,0.02,0.07,0.04,0.01,0.17,0.02,0.04,0.04,0.03,0.13,0.02,0.02,0.04,0.11,0.22,0.03,0.16,0.08,0.02,0.07,0.16,0.367863846429,0.00837111003379,43.9444524016
71,0.03,0.03,0.06,0.01,0.29,0.03,0.04,0.04,0.12,0.21,0.11,0.01,0.03,0.03,0.07,0.1,0.06,0.35,0.01,0.08,0.04,0.01,0.06,0.01,0.1,0.03,0.03,0.01,0.458285263008,0.0112212203701,40.8409466968
72,0.1,0.01,0.01,0.01,0.22,0.05,0.07,0.07,0.03,0.07,0.23,0.05,0.14,0.06,0.08,0.15,0.03,0.1,0.01,0.02,0.12,0.06,0.03,0.03,0.03,0.05,0.1,0.07,0.458358393619,0.0105606374246,43.4025310396
73,0.04,0.05,0.27,0.05,0.06,0.07,0.1,0.03,0.03,0.29,0.06,0.11,0.04,0.02,0.01,0.31,0.02,0.11,0.02,0.1,0.04,0.01,0.03,0.03,0.01,0.01,0.06,0.02,0.38094930071,0.0108041667939,35.2594797894
74,0.03,0.02,0.01,0.11,0.02,0.02,0.12,0.04,0.3,0.08,0.11,0.03,0.1,0.05,0.02,0.02,0.14,0.07,0.01,0.03,0.24,0.14,0.03,0.07,0.01,0.15,0.02,0.01,0.501650698497,0.0104404365898,48.0488238384
75,0.06,0.07,0.2,0.09,0.02,0.03,0.04,0.05,0.04,0.04,0.05,0.05,0.01,0.03,0.02,0.18,0.38,0.05,0.02,0.06,0.09,0.11,0.09,0.08,0.03,0.02,0.08,0.01,0.412346582776,0.0114775860528,35.9262462402
76,0.09,0.04,0.05,0.06,0.18,0.12,0.05,0.01,0.12,0.15,0.01,0.11,0.07,0.04,0.16,0.02,0.03,0.03,0.01,0.08,0.05,0.13,0.03,0.02,0.07,0.13,0.1,0.04,0.414293172838,0.0102701333259,40.3396099826
77,0.02,0.09,0.02,0.12,0.04,0.23,0.07,0.05,0.02,0.02,0.32,0.02,0.01,0.04,0.09,0.05,0.01,0.08,0.19,0.01,0.03,0.02,0.02,0.06,0.09,0.1,0.07,0.11,0.382869906001,0.0104832305537,36.5221297041
78,0.01,0.02,0.2,0.01,0.12,0.01,0.01,0.1,0.01,0.05,0.21,0.12,0.03,0.04,0.05,0.01,0.11,0.03,0.28,0.04,0.01,0.06,0.2,0.04,0.14,0.02,0.05,0.02,0.417111688808,0.0104882202658,39.7695393726
79,0.06,0.02,0.09,0.01,0.06,0.07,0.05,0.02,0.22,0.03,0.07,0.01,0.01,0.06,0.08,0.05,0.01,0.07,0.07,0.02,0.15,0.06,0.23,0.21,0.06,0.14,0.03,0.04,0.479169588763,0.0103208776831,46.4272132154
80,0.01,0.11,0.19,0.13,0.07,0.05,0.08,0.07,0.11,0.05,0.06,0.02,0.07,0.17,0.03,0.04,0.16,0.08,0.01,0.07,0.05,0.02,0.05,0.08,0.04,0.05,0.07,0.06,0.432535489018,0.00992542171886,43.578550239
81,0.08,0.03,0.01,0.03,0.01,0.24,0.05,0.01,0.07,0.08,0.01,0.01,0.07,0.12,0.04,0.11,0.01,0.01,0.04,0.07,0.05,0.02,0.32,0.06,0.02,0.03,0.12,0.28,0.520732164376,0.00816022797238,63.8134334162
82,0.01,0.08,0.01,0.09,0.05,0.02,0.08,0.09,0.04,0.03,0.11,0.18,0.03,0.04,0.03,0.11,0.04,0.04,0.08,0.13,0.22,0.09,0.03,0.07,0.09,0.17,0.03,0.01,0.476689176684,0.0100454789404,47.4531059707
83,0.13,0.12,0.01,0.09,0.06,0.1,0.09,0.07,0.03,0.13,0.01,0.02,0.03,0.01,0.06,0.23,0.01,0.09,0.19,0.08,0.03,0.02,0.04,0.05,0.06,0.06,0.05,0.13,0.389481696568,0.0106142276273,36.694304121
84,0.05,0.04,0.01,0.04,0.09,0.01,0.02,0.05,0.12,0.05,0.04,0.11,0.01,0.07,0.04,0.05,0.01,0.01,0.16,0.22,0.17,0.2,0.02,0.06,0.01,0.19,0.06,0.09,0.423940440643,0.00985318100697,43.0257437008
85,0.04,0.29,0.01,0.1,0.04,0.01,0.08,0.07,0.02,0.01,0.02,0.02,0.05,0.01,0.18,0.17,0.06,0.02,0.07,0.03,0.04,0.03,0.27,0.06,0.07,0.03,0.12,0.08,0.509672462573,0.0101064231373,50.4305485381
86,0.01,0.07,0.15,0.11,0.06,0.09,0.01,0.05,0.21,0.06,0.01,0.05,0.02,0.01,0.05,0.02,0.06,0.04,0.07,0.01,0.02,0.05,0.01,0.28,0.06,0.27,0.14,0.01,0.333621709169,0.0105936810398,31.4925197308
87,0.05,0.04,0.01,0.07,0.11,0.05,0.05,0.05,0.04,0.04,0.02,0.2,0.06,0.06,0.16,0.12,0.03,0.01,0.03,0.04,0.01,0.1,0.17,0.07,0.12,0.13,0.14,0.02,0.462219837469,0.00982849366669,47.0285532192
88,0.05,0.11,0.19,0.08,0.05,0.04,0.03,0.07,0.01,0.01,0.09,0.07,0.04,0.08,0.07,0.12,0.05,0.05,0.05,0.31,0.18,0.03,0.09,0.08,0.01,0.02,0.01,0.01,0.442657953035,0.0110988705565,39.8831530454
89,0.01,0.03,0.11,0.04,0.17,0.01,0.06,0.03,0.08,0.02,0.01,0.11,0.08,0.04,0.13,0.07,0.01,0.13,0.14,0.05,0.16,0.27,0.03,0.07,0.05,0.02,0.02,0.05,0.391042559549,0.00990411741505,39.4828275112
90,0.08,0.02,0.04,0.04,0.19,0.05,0.03,0.03,0.09,0.01,0.19,0.05,0.02,0.08,0.03,0.33,0.02,0.06,0.14,0.03,0.01,0.1,0.03,0.01,0.03,0.04,0.05,0.2,0.361581686633,0.00958663341938,37.7172747528
91,0.2,0.17,0.01,0.1,0.07,0.3,0.07,0.01,0.01,0.02,0.03,0.02,0.23,0.05,0.1,0.01,0.03,0.02,0.01,0.01,0.02,0.08,0.03,0.17,0.02,0.08,0.12,0.01,0.344749175167,0.0122078285523,28.2400079334
92,0.11,0.01,0.04,0.02,0.13,0.01,0.04,0.01,0.11,0.17,0.03,0.05,0.24,0.14,0.01,0.09,0.1,0.08,0.07,0.06,0.03,0.01,0.03,0.09,0.08,0.15,0.08,0.01,0.42207951964,0.0108811208798,38.7900772633
93,0.01,0.02,0.11,0.01,0.04,0.02,0.01,0.05,0.16,0.12,0.06,0.09,0.25,0.1,0.03,0.08,0.04,0.01,0.03,0.07,0.04,0.1,0.03,0.1,0.09,0.05,0.06,0.22,0.364007794888,0.00795704247793,45.7466195384
94,0.08,0.05,0.19,0.02,0.08,0.02,0.01,0.14,0.06,0.02,0.01,0.16,0.09,0.23,0.08,0.12,0.04,0.07,0.04,0.03,0.03,0.02,0.02,0.02,0.05,0.17,0.03,0.12,0.378767060698,0.0105478250647,35.9094939833
95,0.02,0.03,0.01,0.11,0.18,0.02,0.01,0.05,0.08,0.04,0.02,0.1,0.01,0.07,0.08,0.05,0.12,0.06,0.01,0.07,0.05,0.19,0.05,0.13,0.18,0.01,0.13,0.12,0.428712441783,0.0086949565083,49.3058753513
96,0.07,0.01,0.17,0.04,0.08,0.16,0.09,0.14,0.08,0.05,0.01,0.09,0.05,0.01,0.05,0.08,0.07,0.01,0.03,0.02,0.02,0.02,0.25,0.22,0.03,0.07,0.01,0.07,0.378476650043,0.0100286423691,37.7395699352
97,0.1,0.1,0.02,0.02,0.04,0.01,0.01,0.06,0.03,0.17,0.05,0.08,0.27,0.05,0.16,0.15,0.02,0.05,0.02,0.05,0.15,0.02,0.01,0.1,0.05,0.13,0.02,0.06,0.397849676394,0.0105516870133,37.7048405524
98,0.02,0.13,0.05,0.05,0.04,0.06,0.12,0.01,0.01,0.02,0.05,0.05,0.05,0.18,0.05,0.04,0.02,0.12,0.11,0.16,0.07,0.05,0.05,0.01,0.16,0.03,0.23,0.06,0.558240230948,0.0101042743205,55.2479290685
99,0.01,0.02,0.15,0.03,0.23,0.01,0.06,0.02,0.04,0.11,0.07,0.04,0.02,0.07,0.07,0.12,0.14,0.13,0.05,0.05,0.01,0.04,0.07,0.07,0.22,0.06,0.07,0.02,0.43755676658,0.0101299251852,43.1944716848
