,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,portfolioreturn,portfoliostandarddeviation,px,sbac,stz,unp,wlk,returnoverrisk
24,0.13,0.03,0.01,0.01,0.01,0.1,0.01,0.04,0.08,0.05,0.01,0.05,0.11,0.01,0.09,0.02,0.07,0.03,0.04,0.0648298281044,0.006801578689,0.04,0.01,0.02,0.02,0.01,9.53158539638
25,0.02,0.02,0.03,0.05,0.01,0.04,0.05,0.02,0.03,0.03,0.05,0.05,0.03,0.07,0.11,0.05,0.09,0.07,0.07,0.104743310094,0.00666330296584,0.01,0.02,0.03,0.03,0.02,15.719427832
26,0.07,0.1,0.03,0.01,0.01,0.08,0.09,0.01,0.05,0.01,0.02,0.03,0.04,0.03,0.01,0.02,0.01,0.06,0.01,0.0594992422755,0.00802393093211,0.02,0.01,0.06,0.19,0.03,7.41522363277
27,0.03,0.03,0.02,0.07,0.04,0.01,0.01,0.02,0.04,0.04,0.01,0.01,0.04,0.03,0.04,0.17,0.01,0.02,0.02,0.165677542359,0.00812584178387,0.01,0.07,0.09,0.06,0.11,20.3889697543
28,0.01,0.02,0.03,0.02,0.06,0.07,0.03,0.05,0.04,0.01,0.02,0.06,0.08,0.07,0.01,0.02,0.01,0.05,0.03,0.110857603393,0.00984445294018,0.01,0.12,0.02,0.13,0.03,11.260920649
29,0.06,0.16,0.03,0.03,0.02,0.06,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.08,0.02,0.03,0.01,0.01,0.01,0.0921148477143,0.00897750497307,0.04,0.08,0.02,0.1,0.01,10.2606289822
30,0.03,0.07,0.01,0.05,0.05,0.02,0.06,0.06,0.05,0.06,0.01,0.02,0.11,0.04,0.03,0.04,0.04,0.02,0.01,0.11641481009,0.00696847151584,0.07,0.01,0.09,0.02,0.03,16.7059318282
31,0.04,0.03,0.02,0.04,0.02,0.01,0.22,0.01,0.02,0.02,0.05,0.16,0.04,0.05,0.01,0.01,0.01,0.02,0.01,0.0076653483057,0.0077991666697,0.05,0.04,0.09,0.01,0.02,0.98284196637
32,0.05,0.05,0.02,0.03,0.01,0.02,0.01,0.05,0.01,0.02,0.01,0.05,0.06,0.03,0.07,0.07,0.25,0.01,0.02,0.145704475042,0.0082820839996,0.01,0.08,0.03,0.03,0.01,17.5927308935
33,0.11,0.02,0.01,0.04,0.07,0.06,0.01,0.01,0.06,0.01,0.13,0.01,0.08,0.01,0.02,0.12,0.03,0.05,0.01,0.0880727542378,0.00713886969151,0.05,0.01,0.05,0.02,0.01,12.3370726801
34,0.03,0.01,0.07,0.03,0.01,0.06,0.03,0.02,0.04,0.03,0.07,0.08,0.05,0.03,0.03,0.04,0.02,0.01,0.06,0.0972989365839,0.00800960659423,0.01,0.03,0.01,0.19,0.04,12.1477797242
35,0.15,0.02,0.01,0.04,0.04,0.07,0.01,0.03,0.16,0.08,0.07,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.03,0.073699537646,0.00684217173828,0.05,0.01,0.07,0.04,0.02,10.7713662365
36,0.04,0.04,0.05,0.03,0.03,0.01,0.02,0.04,0.07,0.08,0.05,0.01,0.15,0.01,0.02,0.01,0.03,0.02,0.07,0.127011904852,0.00961227565251,0.02,0.13,0.01,0.02,0.04,13.2135104572
37,0.05,0.07,0.02,0.03,0.02,0.01,0.08,0.01,0.08,0.02,0.02,0.04,0.17,0.06,0.05,0.02,0.01,0.06,0.04,0.0760193327309,0.00762883489037,0.01,0.05,0.06,0.01,0.01,9.96473692553
38,0.07,0.02,0.06,0.02,0.04,0.01,0.06,0.01,0.03,0.01,0.13,0.01,0.18,0.01,0.01,0.08,0.03,0.01,0.04,0.0769953756214,0.00736807124831,0.08,0.02,0.04,0.01,0.02,10.449868497
39,0.02,0.06,0.01,0.02,0.03,0.01,0.16,0.04,0.04,0.02,0.03,0.02,0.01,0.02,0.09,0.08,0.02,0.02,0.02,0.0615547327889,0.00890647881037,0.02,0.08,0.04,0.11,0.03,6.91123103748
40,0.03,0.03,0.02,0.11,0.03,0.06,0.02,0.02,0.02,0.05,0.1,0.01,0.08,0.06,0.01,0.03,0.03,0.04,0.01,0.115848812562,0.0073043447991,0.07,0.05,0.05,0.06,0.01,15.8602606734
41,0.01,0.04,0.07,0.08,0.04,0.12,0.04,0.03,0.01,0.01,0.04,0.01,0.05,0.02,0.05,0.06,0.01,0.02,0.03,0.12203046174,0.00934047101766,0.01,0.1,0.1,0.03,0.02,13.0647010744
42,0.05,0.03,0.07,0.09,0.03,0.02,0.03,0.03,0.01,0.02,0.05,0.02,0.08,0.06,0.03,0.02,0.07,0.07,0.04,0.104939965353,0.00753765278574,0.04,0.07,0.03,0.01,0.03,13.9221012609
43,0.08,0.05,0.09,0.04,0.01,0.06,0.03,0.01,0.09,0.04,0.03,0.01,0.01,0.04,0.02,0.01,0.12,0.05,0.01,0.113955325531,0.0080806295515,0.01,0.09,0.01,0.03,0.06,14.1022830963
44,0.02,0.01,0.03,0.02,0.02,0.08,0.02,0.01,0.03,0.06,0.01,0.09,0.13,0.01,0.02,0.02,0.04,0.13,0.03,0.118366217907,0.00679088746196,0.04,0.04,0.04,0.06,0.04,17.4301545373
45,0.06,0.05,0.03,0.03,0.01,0.01,0.02,0.1,0.04,0.01,0.09,0.03,0.06,0.06,0.05,0.01,0.01,0.14,0.01,0.101547337127,0.00784764135726,0.05,0.06,0.04,0.02,0.01,12.939854474
46,0.02,0.01,0.04,0.01,0.01,0.03,0.06,0.05,0.12,0.03,0.17,0.03,0.03,0.03,0.12,0.01,0.07,0.02,0.02,0.10579392015,0.00741051611723,0.02,0.03,0.02,0.02,0.03,14.2761878493
47,0.02,0.1,0.03,0.04,0.02,0.03,0.01,0.02,0.01,0.02,0.04,0.04,0.03,0.04,0.01,0.08,0.05,0.03,0.01,0.180279063958,0.0111596914583,0.01,0.17,0.08,0.02,0.09,16.1544846138
48,0.07,0.04,0.07,0.01,0.02,0.06,0.01,0.02,0.01,0.05,0.02,0.02,0.01,0.05,0.05,0.07,0.01,0.03,0.02,0.127654068868,0.00827893389214,0.08,0.06,0.11,0.07,0.04,15.4191433983
49,0.01,0.03,0.01,0.02,0.02,0.05,0.01,0.03,0.03,0.02,0.02,0.03,0.05,0.12,0.01,0.04,0.03,0.02,0.26,0.129156747967,0.00729564386514,0.02,0.05,0.03,0.01,0.08,17.703269287
50,0.06,0.01,0.01,0.01,0.1,0.04,0.01,0.03,0.16,0.01,0.17,0.02,0.04,0.02,0.01,0.05,0.05,0.03,0.03,0.115078911659,0.00750736467752,0.01,0.02,0.04,0.05,0.02,15.3288026627
51,0.04,0.04,0.06,0.01,0.1,0.03,0.03,0.01,0.03,0.01,0.03,0.02,0.01,0.05,0.01,0.1,0.07,0.07,0.04,0.125900603091,0.00807931959622,0.09,0.06,0.02,0.05,0.02,15.5830700335
52,0.01,0.01,0.05,0.01,0.02,0.05,0.1,0.01,0.21,0.01,0.05,0.01,0.01,0.01,0.02,0.11,0.05,0.02,0.02,0.111863618963,0.00828739683112,0.03,0.06,0.06,0.06,0.01,13.4980406082
53,0.01,0.03,0.04,0.06,0.02,0.1,0.02,0.02,0.05,0.05,0.05,0.06,0.04,0.03,0.03,0.06,0.08,0.05,0.04,0.141910569771,0.00664091360495,0.01,0.04,0.03,0.01,0.07,21.369133558
54,0.02,0.05,0.09,0.01,0.01,0.01,0.06,0.04,0.02,0.1,0.01,0.01,0.01,0.07,0.02,0.01,0.04,0.03,0.07,0.136441123431,0.00899197675458,0.01,0.11,0.05,0.05,0.1,15.173651707
55,0.02,0.01,0.03,0.06,0.04,0.07,0.02,0.06,0.04,0.06,0.04,0.01,0.04,0.02,0.07,0.14,0.11,0.05,0.01,0.142263871579,0.00687588859838,0.01,0.01,0.04,0.01,0.03,20.6902525461
56,0.07,0.02,0.05,0.03,0.15,0.05,0.02,0.02,0.01,0.01,0.07,0.05,0.04,0.03,0.01,0.04,0.05,0.03,0.01,0.100246547333,0.00740074077937,0.01,0.01,0.04,0.09,0.09,13.5454747467
57,0.08,0.03,0.11,0.07,0.03,0.06,0.01,0.08,0.02,0.03,0.02,0.03,0.05,0.02,0.1,0.01,0.05,0.01,0.01,0.0941504631226,0.00754890554039,0.04,0.04,0.04,0.04,0.02,12.4720679864
58,0.01,0.08,0.01,0.03,0.08,0.07,0.04,0.01,0.02,0.01,0.04,0.14,0.02,0.03,0.06,0.06,0.03,0.01,0.01,0.135589624982,0.00751638549165,0.01,0.05,0.06,0.04,0.08,18.03920583
59,0.03,0.17,0.02,0.01,0.12,0.04,0.01,0.01,0.02,0.05,0.02,0.01,0.03,0.03,0.06,0.03,0.03,0.01,0.01,0.15287480201,0.00800617064189,0.14,0.04,0.01,0.07,0.03,19.094621992
60,0.01,0.01,0.05,0.15,0.01,0.12,0.07,0.02,0.08,0.02,0.02,0.02,0.06,0.02,0.01,0.07,0.01,0.02,0.05,0.0968659929517,0.00612402478575,0.03,0.01,0.05,0.02,0.07,15.8173744132
61,0.01,0.07,0.01,0.04,0.01,0.01,0.02,0.13,0.03,0.01,0.02,0.04,0.05,0.08,0.04,0.02,0.07,0.1,0.05,0.139452691338,0.00688755123324,0.04,0.02,0.06,0.02,0.05,20.2470641038
62,0.07,0.07,0.01,0.02,0.01,0.09,0.07,0.01,0.1,0.11,0.01,0.03,0.06,0.01,0.03,0.09,0.01,0.02,0.02,0.0888307982204,0.00705980731896,0.03,0.03,0.02,0.06,0.02,12.5826094406
63,0.01,0.01,0.02,0.04,0.05,0.05,0.03,0.06,0.08,0.03,0.04,0.04,0.01,0.02,0.06,0.04,0.03,0.04,0.04,0.136181179477,0.00682635968099,0.03,0.03,0.03,0.08,0.13,19.9493120551
64,0.02,0.09,0.01,0.01,0.17,0.04,0.02,0.01,0.05,0.02,0.03,0.02,0.02,0.05,0.16,0.01,0.03,0.04,0.05,0.130791811853,0.00764038911772,0.01,0.02,0.02,0.02,0.08,17.1184752292
65,0.05,0.1,0.07,0.06,0.01,0.01,0.04,0.13,0.03,0.02,0.03,0.03,0.09,0.02,0.02,0.04,0.02,0.04,0.11,0.0941266866975,0.00703179299294,0.01,0.01,0.01,0.03,0.02,13.3858728196
66,0.02,0.01,0.05,0.06,0.01,0.05,0.14,0.02,0.09,0.03,0.02,0.04,0.1,0.01,0.03,0.01,0.03,0.02,0.01,0.0647561507943,0.00683471161346,0.06,0.02,0.08,0.03,0.06,9.47459885019
67,0.06,0.04,0.01,0.04,0.01,0.01,0.03,0.02,0.03,0.08,0.06,0.16,0.02,0.06,0.01,0.04,0.07,0.06,0.01,0.118362324573,0.00656413344057,0.02,0.01,0.09,0.04,0.02,18.031675566
68,0.01,0.07,0.03,0.11,0.01,0.01,0.06,0.03,0.03,0.05,0.03,0.03,0.02,0.05,0.01,0.04,0.02,0.08,0.04,0.116077321058,0.00645444218732,0.08,0.02,0.01,0.1,0.06,17.984098035
69,0.03,0.12,0.03,0.01,0.02,0.07,0.04,0.02,0.04,0.04,0.02,0.04,0.14,0.01,0.1,0.04,0.02,0.09,0.02,0.109733346779,0.00721109063581,0.01,0.02,0.03,0.03,0.01,15.2173023917
70,0.01,0.06,0.04,0.1,0.08,0.01,0.01,0.01,0.04,0.01,0.1,0.03,0.04,0.09,0.07,0.06,0.02,0.01,0.02,0.143021733172,0.00742861809923,0.05,0.03,0.08,0.02,0.01,19.2528046618
71,0.01,0.01,0.06,0.04,0.04,0.04,0.03,0.06,0.08,0.03,0.02,0.07,0.03,0.1,0.11,0.06,0.02,0.02,0.01,0.123954063928,0.00729660435431,0.04,0.02,0.07,0.02,0.01,16.987910802
72,0.04,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.07,0.02,0.01,0.05,0.04,0.11,0.02,0.09,0.04,0.02,0.09,0.143669064541,0.0071599138137,0.01,0.04,0.1,0.02,0.12,20.0657533428
73,0.03,0.09,0.1,0.04,0.07,0.02,0.01,0.02,0.01,0.03,0.03,0.21,0.02,0.02,0.04,0.06,0.02,0.02,0.01,0.139551298852,0.00721039385665,0.05,0.04,0.02,0.01,0.03,19.3541853089
74,0.07,0.01,0.03,0.09,0.01,0.01,0.01,0.1,0.08,0.06,0.01,0.01,0.02,0.11,0.11,0.04,0.01,0.03,0.09,0.0951717395539,0.00702244822039,0.01,0.02,0.04,0.02,0.01,13.5525014307
75,0.05,0.02,0.01,0.01,0.01,0.04,0.13,0.05,0.04,0.02,0.09,0.06,0.01,0.12,0.02,0.06,0.04,0.07,0.01,0.0465122376526,0.00731351998184,0.01,0.04,0.01,0.04,0.04,6.35976079482
76,0.06,0.01,0.02,0.02,0.01,0.01,0.06,0.14,0.06,0.02,0.03,0.01,0.02,0.04,0.03,0.04,0.06,0.01,0.04,0.102262011909,0.0134391715185,0.05,0.22,0.02,0.01,0.01,7.60924970476
77,0.05,0.01,0.02,0.18,0.02,0.03,0.01,0.01,0.04,0.03,0.07,0.04,0.06,0.02,0.04,0.09,0.01,0.02,0.03,0.119908411015,0.006851421796,0.05,0.04,0.09,0.02,0.02,17.5012449364
78,0.01,0.07,0.01,0.02,0.09,0.02,0.06,0.06,0.01,0.04,0.08,0.04,0.01,0.12,0.09,0.03,0.02,0.01,0.1,0.103436932229,0.00718808541821,0.02,0.01,0.01,0.02,0.05,14.3900532912
79,0.01,0.09,0.04,0.02,0.01,0.03,0.09,0.05,0.02,0.01,0.05,0.02,0.01,0.01,0.01,0.03,0.08,0.06,0.06,0.114042764652,0.00677563708771,0.13,0.01,0.04,0.06,0.06,16.8312976588
80,0.06,0.16,0.06,0.01,0.01,0.05,0.07,0.01,0.01,0.04,0.01,0.02,0.06,0.02,0.04,0.01,0.01,0.1,0.01,0.106053995589,0.00865890897597,0.05,0.08,0.09,0.01,0.01,12.247962865
81,0.02,0.01,0.09,0.03,0.01,0.04,0.02,0.05,0.04,0.03,0.01,0.03,0.01,0.13,0.07,0.04,0.01,0.02,0.02,0.126128835531,0.00847152344747,0.01,0.07,0.05,0.12,0.07,14.8885659484
82,0.06,0.01,0.03,0.02,0.01,0.04,0.01,0.01,0.04,0.01,0.03,0.05,0.24,0.01,0.05,0.05,0.05,0.02,0.04,0.109742650998,0.00746712491867,0.03,0.05,0.06,0.01,0.07,14.6967744873
83,0.04,0.01,0.04,0.09,0.01,0.09,0.03,0.02,0.04,0.05,0.14,0.07,0.04,0.08,0.01,0.01,0.04,0.01,0.06,0.0944469978785,0.00633445021523,0.03,0.02,0.01,0.02,0.04,14.9100544908
84,0.01,0.03,0.06,0.06,0.05,0.01,0.08,0.01,0.06,0.02,0.05,0.08,0.05,0.01,0.03,0.04,0.1,0.02,0.02,0.120896610534,0.00701560735464,0.01,0.05,0.02,0.02,0.11,17.2325223495
85,0.06,0.01,0.02,0.01,0.03,0.06,0.04,0.07,0.06,0.08,0.01,0.02,0.01,0.02,0.04,0.02,0.04,0.01,0.06,0.113627471389,0.00670623470823,0.08,0.01,0.07,0.06,0.11,16.943557202
86,0.02,0.01,0.01,0.03,0.03,0.01,0.08,0.03,0.05,0.02,0.05,0.08,0.02,0.06,0.14,0.02,0.01,0.02,0.04,0.0889341302673,0.00684699045291,0.03,0.01,0.04,0.09,0.1,12.9887913352
87,0.04,0.01,0.04,0.05,0.03,0.02,0.08,0.06,0.06,0.02,0.06,0.06,0.02,0.02,0.07,0.01,0.03,0.02,0.03,0.0749389081341,0.00802646377227,0.07,0.06,0.02,0.1,0.02,9.33647871097
88,0.05,0.01,0.05,0.13,0.01,0.01,0.12,0.04,0.05,0.05,0.01,0.01,0.01,0.03,0.08,0.01,0.02,0.03,0.07,0.0502769720266,0.00693596603788,0.05,0.04,0.03,0.05,0.04,7.2487338825
89,0.03,0.11,0.01,0.04,0.04,0.02,0.02,0.01,0.07,0.03,0.01,0.06,0.14,0.03,0.04,0.02,0.06,0.02,0.08,0.126012555835,0.00789071069527,0.02,0.07,0.01,0.05,0.01,15.9697346287
90,0.12,0.04,0.05,0.01,0.06,0.06,0.01,0.05,0.04,0.04,0.05,0.01,0.05,0.01,0.08,0.04,0.01,0.01,0.01,0.0853590183143,0.0104648405424,0.03,0.13,0.03,0.05,0.01,8.15674333198
91,0.03,0.01,0.08,0.04,0.01,0.02,0.04,0.12,0.01,0.13,0.03,0.11,0.06,0.02,0.01,0.01,0.01,0.01,0.06,0.115796761835,0.00836371836228,0.02,0.08,0.06,0.02,0.01,13.8451292618
92,0.01,0.03,0.07,0.01,0.05,0.03,0.07,0.05,0.1,0.01,0.1,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.02,0.0918906100579,0.00850392273158,0.06,0.01,0.01,0.2,0.01,10.805673212
93,0.08,0.01,0.03,0.04,0.02,0.06,0.06,0.03,0.01,0.08,0.04,0.07,0.04,0.03,0.01,0.03,0.01,0.04,0.01,0.0747502555052,0.00832454018004,0.01,0.09,0.02,0.11,0.07,8.97950564098
94,0.01,0.15,0.02,0.05,0.05,0.08,0.02,0.01,0.04,0.01,0.01,0.16,0.01,0.02,0.04,0.05,0.01,0.08,0.01,0.149278164033,0.00636932113682,0.05,0.01,0.03,0.01,0.07,23.4370603753
95,0.15,0.1,0.03,0.02,0.05,0.04,0.04,0.04,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.04,0.02,0.01,0.1,0.0653505447378,0.00754468170397,0.03,0.03,0.09,0.04,0.06,8.66180275086
96,0.08,0.03,0.02,0.11,0.04,0.03,0.1,0.05,0.02,0.04,0.09,0.02,0.01,0.02,0.02,0.07,0.04,0.01,0.02,0.0557525516762,0.00696620016496,0.11,0.03,0.02,0.01,0.01,8.00329453016
97,0.03,0.06,0.03,0.03,0.01,0.05,0.02,0.04,0.13,0.06,0.08,0.02,0.04,0.03,0.02,0.06,0.04,0.05,0.01,0.144266791206,0.00687945738712,0.05,0.03,0.05,0.03,0.03,20.9706642673
98,0.11,0.02,0.05,0.03,0.01,0.03,0.01,0.11,0.03,0.03,0.04,0.06,0.17,0.03,0.01,0.06,0.01,0.05,0.02,0.0689376774721,0.00698640859913,0.01,0.01,0.01,0.05,0.04,9.86739846289
99,0.01,0.04,0.02,0.08,0.01,0.05,0.07,0.02,0.07,0.02,0.08,0.03,0.01,0.04,0.06,0.03,0.01,0.04,0.03,0.0956548401048,0.0073129021193,0.11,0.03,0.02,0.11,0.01,13.0802844814
100,0.03,0.01,0.06,0.07,0.02,0.1,0.07,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.06,0.07,0.09,0.03,0.04,0.0966127378346,0.00853485657008,0.02,0.09,0.04,0.01,0.01,11.3197845847
101,0.05,0.01,0.04,0.1,0.01,0.02,0.02,0.05,0.11,0.09,0.01,0.02,0.02,0.01,0.16,0.02,0.09,0.05,0.02,0.117802179123,0.00704850304174,0.01,0.04,0.02,0.02,0.01,16.7130777167
102,0.01,0.11,0.04,0.03,0.07,0.01,0.01,0.04,0.03,0.11,0.01,0.11,0.01,0.03,0.05,0.02,0.01,0.07,0.02,0.158951423046,0.00673294415156,0.14,0.01,0.03,0.02,0.01,23.6080115129
103,0.01,0.16,0.01,0.01,0.09,0.02,0.08,0.05,0.02,0.06,0.04,0.03,0.02,0.05,0.04,0.05,0.03,0.03,0.01,0.128471919858,0.00724980758842,0.05,0.01,0.04,0.04,0.05,17.7207351079
104,0.17,0.02,0.02,0.07,0.02,0.07,0.05,0.05,0.02,0.01,0.01,0.12,0.01,0.01,0.04,0.02,0.01,0.04,0.03,0.0250974371995,0.00636958198396,0.01,0.01,0.04,0.05,0.1,3.94020161177
105,0.05,0.02,0.03,0.04,0.05,0.01,0.09,0.06,0.04,0.02,0.03,0.04,0.04,0.06,0.03,0.02,0.01,0.03,0.07,0.0789156385571,0.00748287412596,0.07,0.02,0.14,0.01,0.02,10.5461667841
106,0.03,0.1,0.03,0.06,0.02,0.04,0.05,0.08,0.03,0.05,0.02,0.08,0.04,0.04,0.03,0.08,0.03,0.01,0.02,0.113045501881,0.00681667993786,0.04,0.01,0.02,0.07,0.02,16.5836599212
107,0.01,0.07,0.07,0.05,0.01,0.03,0.03,0.04,0.03,0.05,0.06,0.03,0.01,0.02,0.02,0.03,0.03,0.03,0.14,0.124109180645,0.0072777796581,0.05,0.01,0.04,0.13,0.01,17.0531654537
108,0.11,0.04,0.07,0.06,0.01,0.01,0.04,0.01,0.07,0.01,0.04,0.02,0.06,0.08,0.04,0.03,0.05,0.04,0.05,0.0757148025325,0.00701763735439,0.02,0.03,0.07,0.01,0.03,10.7892156161
109,0.04,0.04,0.02,0.05,0.02,0.04,0.2,0.01,0.06,0.02,0.04,0.13,0.01,0.01,0.09,0.02,0.03,0.02,0.03,0.0100048580285,0.00722594338319,0.02,0.03,0.01,0.03,0.03,1.38457464969
110,0.05,0.06,0.01,0.04,0.01,0.11,0.03,0.05,0.01,0.01,0.02,0.15,0.01,0.01,0.03,0.06,0.02,0.01,0.01,0.11383779818,0.0100133844836,0.05,0.14,0.05,0.04,0.02,11.3685635828
111,0.02,0.01,0.03,0.15,0.03,0.01,0.01,0.09,0.02,0.01,0.02,0.01,0.02,0.02,0.06,0.03,0.01,0.06,0.05,0.1182793881,0.00897000722264,0.02,0.08,0.04,0.16,0.04,13.186097309
112,0.02,0.01,0.01,0.04,0.06,0.11,0.05,0.09,0.02,0.01,0.05,0.01,0.01,0.04,0.02,0.02,0.04,0.01,0.06,0.0980249655876,0.00781712629622,0.07,0.02,0.09,0.11,0.03,12.5397699708
113,0.02,0.05,0.06,0.05,0.07,0.01,0.01,0.05,0.12,0.08,0.01,0.03,0.02,0.06,0.03,0.01,0.03,0.02,0.06,0.149478834047,0.0105070351047,0.01,0.15,0.01,0.03,0.01,14.2265475043
