Date,agg,shy,spy
2017-06-27,109.82,84.5,241.330002
2017-06-28,109.860001,84.540001,243.490005
2017-06-29,109.650002,84.489998,241.350006
2017-06-30,109.510002,84.489998,241.800003
2017-07-03,109.089996,84.360001,242.210007
2017-07-05,109.150002,84.389999,242.770004
2017-07-06,108.940002,84.410004,240.550003
2017-07-07,108.900002,84.400002,242.110001
2017-07-10,108.949997,84.440002,242.369995
2017-07-11,109.050003,84.470001,242.190002
2017-07-12,109.379997,84.510002,244.009995
2017-07-13,109.260002,84.470001,244.419998
2017-07-14,109.370003,84.510002,245.559998
2017-07-17,109.419998,84.519997,245.529999
2017-07-18,109.669998,84.540001,245.660004
2017-07-19,109.699997,84.540001,246.990005
2017-07-20,109.730003,84.540001,247.100006
2017-07-21,109.919998,84.580002,246.880005
2017-07-24,109.82,84.550003,246.820007
2017-07-25,109.43,84.5,247.419998
2017-07-26,109.639999,84.559998,247.429993
2017-07-27,109.480003,84.540001,247.199997
2017-07-28,109.699997,84.589996,246.910004
2017-07-31,109.650002,84.580002,246.770004
2017-08-01,109.720001,84.540001,247.320007
2017-08-02,109.639999,84.5,247.440002
2017-08-03,109.860001,84.529999,246.960007
2017-08-04,109.68,84.5,247.410004
2017-08-07,109.669998,84.529999,247.869995
2017-08-08,109.57,84.529999,247.259995
2017-08-09,109.669998,84.519997,247.25
2017-08-10,109.779999,84.550003,243.759995
2017-08-11,109.870003,84.660004,244.119995
2017-08-14,109.82,84.589996,246.539993
2017-08-15,109.660004,84.550003,246.509995
2017-08-16,109.860001,84.599998,246.940002
2017-08-17,110.019997,84.620003,243.089996
2017-08-18,109.949997,84.610001,242.710007
2017-08-21,110.029999,84.629997,242.899994
2017-08-22,109.93,84.620003,245.440002
2017-08-23,110.18,84.699997,244.559998
2017-08-24,110.040001,84.620003,243.990005
2017-08-25,110.120003,84.650002,244.559998
2017-08-28,110.160004,84.620003,244.570007
2017-08-29,110.32,84.660004,244.850006
2017-08-30,110.300003,84.68,246.009995
2017-08-31,110.449997,84.68,247.490005
2017-09-01,109.970001,84.589996,247.839996
2017-09-05,110.419998,84.669998,246.059998
2017-09-06,110.300003,84.660004,246.899994
2017-09-07,110.57,84.709999,246.869995
2017-09-08,110.440002,84.690002,246.580002
2017-09-11,110.139999,84.610001,249.210007
2017-09-12,109.980003,84.57,250.050003
2017-09-13,109.870003,84.550003,250.169998
2017-09-14,109.93,84.559998,250.089996
2017-09-15,109.910004,84.550003,249.190002
2017-09-18,109.860001,84.5,249.720001
2017-09-19,109.800003,84.510002,249.970001
2017-09-20,109.709999,84.440002,250.059998
2017-09-21,109.800003,84.480003,249.369995
