,a,b,c,d,f,g,l,m,p,portfolioreturn,portfoliostandarddeviation,s,w,returnoverrisk
14,0.036,0.012,0.047,0.0485,0.0235,0.011,0.0265,0.015,0.0115,0.0402387958597,0.00208467552552,0.0255,0.031,19.3021865355
15,0.0435,0.0295,0.0135,0.0405,0.0465,0.0465,0.035,0.0195,0.011,0.0417398624957,0.00212936243657,0.0145,0.0225,19.602046969
16,0.0255,0.0445,0.0235,0.0215,0.0485,0.035,0.0245,0.034,0.0305,0.0231468734189,0.00219082903704,0.0195,0.0135,10.5653490197
17,0.046,0.013,0.0275,0.0185,0.033,0.0245,0.015,0.0215,0.0245,0.0385980439187,0.00219123580218,0.022,0.037,17.6147377112
18,0.0175,0.0195,0.046,0.04,0.042,0.0265,0.0455,0.025,0.034,0.0253810595423,0.00260107960732,0.0215,0.025,9.75789417244
19,0.033,0.0245,0.0295,0.0465,0.0155,0.01,0.036,0.041,0.0365,0.0131067732555,0.00256872639208,0.0385,0.02,5.10244037511
20,0.0365,0.0475,0.044,0.0335,0.0125,0.014,0.0155,0.0105,0.0155,0.0411060894936,0.00219255949428,0.043,0.0165,18.7479927459
21,0.0255,0.0375,0.029,0.013,0.0365,0.039,0.0385,0.034,0.013,0.0274253516017,0.00244403942674,0.0385,0.014,11.2213212691
22,0.016,0.0115,0.017,0.028,0.042,0.0355,0.0485,0.021,0.017,0.0303531421192,0.00253999202714,0.031,0.034,11.9500934629
23,0.017,0.0255,0.0345,0.023,0.0365,0.044,0.037,0.031,0.044,0.0322920635916,0.00275320791757,0.0145,0.0365,11.7288866509
24,0.018,0.033,0.03,0.046,0.0115,0.044,0.0255,0.0145,0.0175,0.0297821568093,0.00198452126979,0.031,0.0125,15.0072247966
25,0.03,0.0395,0.0315,0.019,0.021,0.047,0.0455,0.0125,0.035,0.0359961466582,0.0029819627561,0.045,0.022,12.0712931725
26,0.0235,0.0125,0.0375,0.0455,0.0355,0.0385,0.0495,0.0285,0.036,0.0230002615214,0.00265221284036,0.0175,0.0245,8.67210246908
27,0.0115,0.045,0.0475,0.044,0.0215,0.0375,0.015,0.0355,0.0435,0.0403230466938,0.00254075619408,0.015,0.0375,15.8704903633
28,0.0325,0.0275,0.0145,0.0165,0.0465,0.0145,0.0475,0.0265,0.011,0.0237510063134,0.00246637157371,0.042,0.019,9.62993839475
29,0.0445,0.0395,0.0275,0.019,0.0225,0.0205,0.0495,0.0145,0.049,0.0262151088312,0.00312452426312,0.042,0.0195,8.39011210144
30,0.0175,0.0315,0.0115,0.0365,0.044,0.0435,0.031,0.049,0.0405,0.00321919567178,0.00280652909659,0.0495,0.0135,1.14703805341
31,0.0135,0.042,0.0225,0.021,0.013,0.037,0.024,0.02,0.0495,0.0410508445659,0.00320126103511,0.0485,0.0485,12.8233355905
32,0.043,0.039,0.045,0.047,0.032,0.024,0.0355,0.036,0.027,0.056774404513,0.00277269925294,0.01,0.0465,20.4762216648
33,0.025,0.019,0.038,0.03,0.037,0.039,0.0115,0.0105,0.041,0.0229639952013,0.00233497460194,0.0345,0.0195,9.83479442654
34,0.0345,0.0155,0.0105,0.0225,0.0295,0.0415,0.0205,0.019,0.0145,0.030819516077,0.00193552515021,0.0285,0.025,15.9230770386
35,0.025,0.03,0.043,0.044,0.043,0.0415,0.0325,0.033,0.0475,0.0248302538849,0.00289942183954,0.032,0.025,8.56386385254
36,0.0205,0.0385,0.021,0.0335,0.0365,0.039,0.01,0.027,0.017,0.0389339953829,0.00236210842856,0.045,0.0325,16.4827299679
37,0.029,0.0135,0.023,0.0465,0.043,0.048,0.0345,0.028,0.0175,0.0212739987529,0.0022090404138,0.0295,0.015,9.63042532855
38,0.03,0.04,0.0255,0.0285,0.0145,0.048,0.0305,0.0245,0.03,0.0502946010875,0.00295653383547,0.0425,0.0435,17.011339591
39,0.012,0.0395,0.0145,0.0105,0.0195,0.044,0.0445,0.02,0.0345,0.0276092166582,0.00265893628719,0.033,0.024,10.3835570605
40,0.0355,0.0105,0.036,0.027,0.0305,0.0125,0.045,0.0275,0.012,0.0235481840403,0.00235758120292,0.0365,0.0205,9.98828121428
41,0.0195,0.0215,0.0255,0.019,0.021,0.0475,0.0165,0.014,0.027,0.0255207221965,0.00195597539438,0.027,0.018,13.0475681186
42,0.0485,0.017,0.0105,0.032,0.0175,0.028,0.014,0.032,0.0325,0.0102505911727,0.00199815943987,0.0305,0.0105,5.13001663837
43,0.0475,0.0425,0.0105,0.02,0.0415,0.034,0.0345,0.033,0.016,0.0431765147236,0.00266564327019,0.039,0.032,16.1974091606
44,0.0135,0.022,0.0415,0.049,0.0225,0.043,0.013,0.038,0.0275,0.0239326385717,0.0021862855015,0.031,0.024,10.9467123829
45,0.0135,0.047,0.0455,0.0335,0.032,0.035,0.0295,0.0215,0.044,0.0470020470834,0.00325631711129,0.0465,0.045,14.4341123659
46,0.0355,0.0495,0.011,0.0115,0.015,0.035,0.0345,0.046,0.033,0.0209704532199,0.00261078894073,0.036,0.016,8.03222845505
47,0.01,0.0465,0.0265,0.0275,0.02,0.021,0.04,0.0445,0.0175,0.0201481831977,0.00220811112371,0.0265,0.014,9.12462374803
48,0.036,0.034,0.0415,0.0145,0.024,0.0305,0.032,0.038,0.01,0.0365505168329,0.00233609081519,0.0315,0.0215,15.6460170963
49,0.044,0.0135,0.014,0.0205,0.011,0.0385,0.0125,0.0495,0.0145,0.0162986100576,0.001937041087,0.0345,0.017,8.41417880445
50,0.0115,0.0325,0.03,0.0255,0.021,0.0465,0.0265,0.019,0.018,0.0484875988312,0.0022533475057,0.018,0.039,21.5180298239
51,0.0445,0.0255,0.0445,0.012,0.0145,0.01,0.0115,0.0475,0.0335,0.0187158050676,0.00246033904614,0.0405,0.0215,7.60700241576
52,0.029,0.031,0.0375,0.012,0.0385,0.031,0.034,0.0155,0.034,0.0420468035147,0.0030025006954,0.0455,0.0385,14.0039279855
53,0.0165,0.0405,0.0335,0.0465,0.0445,0.032,0.045,0.048,0.0405,0.0326449222456,0.00313752618177,0.0315,0.0395,10.4046692695
54,0.0165,0.0245,0.0465,0.0195,0.016,0.03,0.0255,0.032,0.032,0.0294547980603,0.00251437520071,0.034,0.031,11.7145595661
55,0.03,0.0465,0.02,0.025,0.013,0.021,0.0215,0.0105,0.034,0.0283141060482,0.00186665184037,0.013,0.0125,15.1683915747
56,0.0155,0.0165,0.012,0.037,0.045,0.022,0.0315,0.0205,0.027,0.0130346169997,0.00231966255802,0.0435,0.021,5.61918670223
57,0.0275,0.031,0.029,0.0265,0.041,0.047,0.022,0.014,0.039,0.0359594096539,0.00237879125988,0.0185,0.0275,15.1166730181
58,0.0315,0.0405,0.017,0.0355,0.028,0.049,0.011,0.016,0.03,0.0542398001107,0.00224766895865,0.0105,0.0425,24.1315785859
59,0.022,0.0465,0.0235,0.023,0.0165,0.01,0.035,0.0305,0.011,0.0381219339799,0.00204691678563,0.0195,0.027,18.624076097
60,0.0305,0.032,0.0325,0.0315,0.0195,0.038,0.025,0.0195,0.032,0.0391890693072,0.00269123157494,0.0425,0.033,14.5617603748
61,0.02,0.0105,0.049,0.0485,0.0455,0.0185,0.042,0.0175,0.02,0.025107889057,0.00244470608286,0.0355,0.022,10.2703098884
62,0.0255,0.0305,0.0465,0.029,0.0475,0.014,0.031,0.0405,0.0405,0.00824160260489,0.00279427384917,0.0465,0.0115,2.949461309
63,0.0255,0.0155,0.016,0.0285,0.016,0.028,0.045,0.0375,0.046,0.0153459609608,0.00285402010547,0.0325,0.032,5.37696315853
64,0.0255,0.049,0.0475,0.028,0.026,0.0275,0.0175,0.0295,0.0155,0.0611492466677,0.00244753438937,0.019,0.045,24.9840194006
65,0.0255,0.0245,0.0485,0.038,0.033,0.0185,0.036,0.0205,0.044,0.0412943564793,0.00299887373877,0.0285,0.0455,13.7699550153
66,0.0425,0.0165,0.011,0.021,0.022,0.013,0.0165,0.021,0.0285,0.0331135621303,0.00220409921817,0.027,0.039,15.0236259136
67,0.0315,0.035,0.029,0.0145,0.041,0.0255,0.012,0.0425,0.036,0.0278754224756,0.00259923090933,0.038,0.0325,10.7244886845
68,0.0105,0.039,0.035,0.034,0.028,0.039,0.0235,0.043,0.0245,0.0450747541412,0.00262276173974,0.0265,0.046,17.185988898
69,0.0385,0.029,0.0425,0.0305,0.0415,0.0255,0.0245,0.0265,0.0495,0.0167649640817,0.00237104519832,0.01,0.0105,7.07070624109
70,0.0495,0.01,0.0285,0.0225,0.0325,0.01,0.034,0.0195,0.029,0.0216558009961,0.00241525108516,0.0365,0.022,8.96627316685
71,0.026,0.018,0.0275,0.018,0.01,0.016,0.011,0.0365,0.0125,0.0320472604075,0.00183458263399,0.0225,0.0345,17.4684202356
72,0.045,0.03,0.0195,0.0255,0.043,0.0395,0.0295,0.0175,0.016,0.0504023568559,0.00237262881538,0.022,0.036,21.2432541193
73,0.0225,0.015,0.0225,0.0345,0.035,0.013,0.028,0.0435,0.026,0.0155945549206,0.00205270632823,0.0195,0.027,7.59707061169
74,0.038,0.031,0.0325,0.023,0.0325,0.049,0.039,0.011,0.034,0.0343521619267,0.00279451538516,0.04,0.0195,12.2927081057
75,0.023,0.0265,0.0435,0.0475,0.0485,0.049,0.0475,0.021,0.026,0.0329227551411,0.00273885218227,0.03,0.02,12.0206396512
76,0.013,0.01,0.0455,0.017,0.044,0.0225,0.0295,0.032,0.0225,0.032543145344,0.00254767392358,0.031,0.0415,12.7736697553
77,0.033,0.0195,0.044,0.015,0.022,0.042,0.039,0.029,0.0205,0.0474203188945,0.00274615761073,0.027,0.041,17.2678795672
78,0.0405,0.032,0.02,0.0125,0.0115,0.0345,0.045,0.0105,0.0195,0.0590444992852,0.00286294038157,0.0315,0.048,20.6237264545
79,0.0175,0.0375,0.039,0.0195,0.021,0.044,0.0335,0.041,0.0355,0.0387646588417,0.00260433922127,0.01,0.036,14.8846427244
80,0.044,0.01,0.0315,0.047,0.0135,0.011,0.046,0.032,0.03,0.0235036662534,0.00256835053825,0.029,0.028,9.15126884095
81,0.017,0.014,0.019,0.0225,0.0255,0.043,0.0445,0.026,0.0335,0.0237608954411,0.00262699718637,0.029,0.031,9.0448880434
82,0.0255,0.0255,0.033,0.0485,0.0105,0.0245,0.043,0.024,0.047,0.0144828408019,0.00246070203892,0.015,0.0135,5.8856540015
83,0.0435,0.0425,0.0295,0.018,0.025,0.0145,0.013,0.0355,0.0225,0.0497242100341,0.0026774815703,0.0395,0.0455,18.571261362
84,0.043,0.0165,0.035,0.038,0.0465,0.0315,0.0455,0.026,0.0305,0.0402411337399,0.00287883028927,0.025,0.0385,13.9782931595
85,0.015,0.024,0.0315,0.03,0.0205,0.02,0.035,0.0195,0.047,0.0249716917155,0.00254428774092,0.0195,0.0325,9.81480644419
86,0.032,0.045,0.015,0.0315,0.0385,0.0105,0.0275,0.022,0.01,0.0338664025772,0.00170686445547,0.0125,0.017,19.841295815
87,0.042,0.0335,0.013,0.038,0.0205,0.0155,0.0205,0.042,0.016,0.0276849418989,0.00183440918397,0.018,0.0225,15.0920209847
88,0.047,0.0405,0.036,0.01,0.038,0.0185,0.01,0.027,0.022,0.0384352897468,0.00196559419436,0.0155,0.0215,19.5540309679
89,0.013,0.012,0.0215,0.02,0.0345,0.0285,0.0475,0.031,0.0235,0.0106159469079,0.00223885692571,0.0235,0.016,4.74168169748
90,0.0125,0.046,0.034,0.0375,0.014,0.028,0.031,0.0415,0.0125,0.0431356467383,0.00250030017998,0.0355,0.0365,17.2521871908
91,0.0285,0.026,0.024,0.028,0.0165,0.019,0.0245,0.0175,0.028,0.0426876160216,0.00259196931741,0.0375,0.045,16.4691826152
92,0.0295,0.023,0.023,0.018,0.0365,0.037,0.0485,0.016,0.041,0.0417219987654,0.00286739542506,0.01,0.0425,14.5504866196
93,0.036,0.028,0.0435,0.0265,0.041,0.037,0.042,0.0485,0.045,0.0170294867191,0.00305192485615,0.035,0.019,5.57991678096
94,0.0365,0.0335,0.0195,0.029,0.0455,0.034,0.016,0.03,0.024,0.0426409597001,0.0022368126011,0.018,0.037,19.063268724
95,0.0345,0.028,0.012,0.031,0.045,0.0275,0.0325,0.017,0.0215,0.0227522350796,0.0019289254737,0.018,0.012,11.7952898595
96,0.032,0.045,0.029,0.0235,0.0385,0.0315,0.034,0.015,0.0205,0.0365395163979,0.00210844413678,0.016,0.014,17.3300851375
97,0.0485,0.0235,0.047,0.0215,0.0465,0.033,0.0465,0.0495,0.044,0.0189655625977,0.00319847547107,0.0365,0.02,5.92956324638
98,0.0335,0.048,0.016,0.0215,0.026,0.033,0.0175,0.0455,0.0165,0.0453581910621,0.00219114021884,0.016,0.037,20.7007249797
99,0.0305,0.049,0.0215,0.0455,0.016,0.039,0.0125,0.049,0.0465,0.0333920085531,0.00253781628269,0.0175,0.0345,13.1577722079
100,0.0455,0.045,0.0435,0.0405,0.0305,0.0175,0.042,0.046,0.0405,0.0208448945505,0.00279403675147,0.026,0.0115,7.46049404667
101,0.0415,0.018,0.016,0.019,0.016,0.0425,0.0385,0.0255,0.032,0.0337731973752,0.00283486838983,0.041,0.0355,11.9134974648
102,0.0365,0.0355,0.036,0.0405,0.018,0.016,0.0315,0.0115,0.022,0.0549920235531,0.00242686771532,0.02,0.042,22.6596708201
103,0.0185,0.0115,0.021,0.0175,0.021,0.033,0.0285,0.045,0.024,0.0313231677731,0.00240276306834,0.02,0.0455,13.0363114807
104,0.0135,0.0305,0.015,0.035,0.0445,0.028,0.0385,0.018,0.0315,0.0338562182363,0.00288877898799,0.0465,0.04,11.7199060146
105,0.015,0.029,0.029,0.038,0.024,0.046,0.0315,0.01,0.047,0.0159645708471,0.00260227765858,0.0375,0.0115,6.13484529387
106,0.0455,0.0315,0.02,0.034,0.0325,0.0195,0.0425,0.0465,0.037,0.0172010444642,0.00279897654769,0.0365,0.0205,6.14547645221
107,0.01,0.018,0.028,0.0405,0.0385,0.017,0.0425,0.0295,0.0255,0.0253137838913,0.00249448991166,0.029,0.0345,10.1478798423
108,0.0135,0.025,0.017,0.039,0.0265,0.0195,0.041,0.043,0.015,0.0108738078124,0.00209417371448,0.03,0.014,5.19240965409
109,0.024,0.02,0.0375,0.0165,0.0485,0.0265,0.025,0.017,0.0435,0.0379186617082,0.00260309951164,0.013,0.0425,14.5667353625
110,0.0145,0.0115,0.0175,0.0395,0.0165,0.0255,0.0305,0.019,0.011,0.0326013041351,0.00225247688237,0.0405,0.037,14.4735355067
111,0.0305,0.011,0.047,0.0285,0.017,0.028,0.0485,0.0295,0.017,0.0237442619686,0.00233804336549,0.024,0.016,10.1556123035
112,0.0215,0.0165,0.0325,0.0335,0.0445,0.0285,0.021,0.028,0.034,0.0368729672655,0.0026902991783,0.032,0.047,13.7058984231
113,0.022,0.048,0.0205,0.024,0.025,0.0385,0.0435,0.0345,0.013,0.027081619694,0.0023861094514,0.0335,0.0105,11.3496971726
114,0.0295,0.0175,0.028,0.044,0.028,0.014,0.0305,0.041,0.04,0.0230775759842,0.00241294027039,0.0135,0.0355,9.56408920161
115,0.04,0.0475,0.0455,0.046,0.019,0.0415,0.0115,0.0475,0.0405,0.0441864661204,0.00273965050139,0.024,0.036,16.1285047483
116,0.037,0.0255,0.0375,0.0325,0.024,0.014,0.011,0.0405,0.0435,0.027625760854,0.00256608515357,0.0295,0.0365,10.7657225699
117,0.01,0.0105,0.021,0.044,0.0295,0.049,0.0195,0.0205,0.039,0.0276984799593,0.00235556272975,0.0235,0.038,11.758752849
118,0.0185,0.0435,0.037,0.048,0.0485,0.039,0.025,0.047,0.0355,0.0392814962729,0.00270349778604,0.0195,0.039,14.529879209
119,0.045,0.027,0.0185,0.0485,0.0465,0.0225,0.0435,0.045,0.034,0.0237270007014,0.00278592770894,0.03,0.028,8.51673237081
120,0.039,0.03,0.0295,0.0195,0.0465,0.0405,0.0215,0.011,0.032,0.0306470373973,0.00207571030744,0.014,0.014,14.7646024049
121,0.0485,0.0385,0.036,0.033,0.045,0.047,0.017,0.0135,0.0395,0.0454451554823,0.00284920788962,0.0395,0.03,15.9501016573
122,0.031,0.013,0.0275,0.0485,0.04,0.0455,0.0135,0.03,0.044,0.030876625612,0.00274108982829,0.0345,0.041,11.2643610922
123,0.0485,0.013,0.03,0.039,0.01,0.024,0.031,0.0315,0.0265,0.0241218380077,0.00210636850377,0.0185,0.02,11.451860377
124,0.0325,0.044,0.0245,0.0475,0.0395,0.04,0.0235,0.044,0.04,0.0172035646685,0.00236464444076,0.019,0.01,7.2753283208
125,0.0105,0.0105,0.0325,0.049,0.014,0.032,0.021,0.04,0.014,0.0261167761579,0.0022565513531,0.041,0.0345,11.5737566185
126,0.0265,0.0255,0.0115,0.0395,0.02,0.0165,0.039,0.0235,0.0285,0.0310942120469,0.00224980437235,0.015,0.034,13.8208514611
127,0.04,0.048,0.048,0.021,0.0475,0.0465,0.032,0.021,0.0285,0.0685446394879,0.00294821824535,0.012,0.0475,23.2495133615
128,0.039,0.049,0.0345,0.033,0.045,0.0255,0.0115,0.049,0.032,0.0437079008393,0.00255658366925,0.0205,0.039,17.0962137344
129,0.0155,0.0375,0.0385,0.0195,0.019,0.0375,0.0125,0.0475,0.0255,0.0316329450553,0.00248592878129,0.0395,0.032,12.7247993963
130,0.0395,0.046,0.0175,0.012,0.036,0.0435,0.0175,0.013,0.037,0.0562653223663,0.00304001233384,0.0435,0.0485,18.5082546344
131,0.03,0.0325,0.036,0.021,0.041,0.0355,0.0405,0.013,0.0425,0.0442043709556,0.00309449036635,0.034,0.0405,14.2848630056
132,0.033,0.019,0.0255,0.04,0.0465,0.023,0.033,0.017,0.048,0.00840822903295,0.00279488649604,0.0465,0.013,3.00843309553
133,0.035,0.0145,0.0125,0.0425,0.046,0.0485,0.025,0.0205,0.0485,0.0363780189028,0.00321018052334,0.0455,0.0495,11.3320788779
134,0.0405,0.0435,0.01,0.043,0.0255,0.0235,0.0455,0.0165,0.0225,0.0358519335884,0.00238446828256,0.026,0.0205,15.0356093434
135,0.0235,0.0465,0.0385,0.0345,0.043,0.0175,0.047,0.0155,0.0315,0.0270830979429,0.00252036679207,0.025,0.011,10.7456970264
136,0.049,0.0105,0.0495,0.042,0.0395,0.02,0.0305,0.029,0.0165,0.0371882536142,0.00226383588956,0.018,0.028,16.4270978235
137,0.012,0.038,0.033,0.0355,0.035,0.0405,0.0335,0.048,0.021,0.0196292250739,0.00209908061528,0.0105,0.0115,9.35134407462
138,0.0475,0.039,0.0285,0.0305,0.0115,0.048,0.0375,0.0265,0.04,0.0430499273279,0.00286304486816,0.026,0.031,15.0364137868
139,0.0455,0.0275,0.015,0.0375,0.042,0.011,0.0255,0.045,0.0305,0.0102453835573,0.00214241953434,0.0255,0.0125,4.78215559237
140,0.015,0.042,0.0385,0.02,0.041,0.014,0.0465,0.01,0.0165,0.0314082301966,0.00220167396006,0.022,0.013,14.265613695
141,0.0185,0.03,0.0175,0.039,0.02,0.0335,0.0165,0.0465,0.042,0.0121366269882,0.00209457033075,0.0155,0.0205,5.79432774829
142,0.037,0.018,0.0185,0.0385,0.04,0.0185,0.0365,0.012,0.0395,0.0321355202038,0.00264227057713,0.0275,0.0365,12.1620853224
143,0.0175,0.0445,0.0345,0.013,0.031,0.037,0.025,0.013,0.0255,0.0573618334375,0.0026677143244,0.0285,0.0465,21.5022399186
144,0.038,0.029,0.0335,0.032,0.0375,0.0235,0.019,0.023,0.031,0.0267744444641,0.00245499052687,0.042,0.021,10.9061294417
145,0.0445,0.0375,0.022,0.0195,0.0465,0.0185,0.0445,0.024,0.034,0.0327383242847,0.00257946735557,0.017,0.0245,12.6918932368
146,0.0375,0.0185,0.0175,0.036,0.034,0.014,0.044,0.045,0.0255,0.0254916860707,0.00286967249145,0.0435,0.0375,8.88313427634
147,0.013,0.015,0.0455,0.0395,0.0105,0.045,0.0155,0.037,0.03,0.0251936868258,0.00228257360094,0.031,0.0285,11.0374039266
148,0.0425,0.049,0.033,0.0495,0.021,0.0145,0.0375,0.023,0.0175,0.0460420426911,0.00258118465794,0.038,0.0275,17.837562512
149,0.022,0.0205,0.034,0.0435,0.0335,0.0315,0.047,0.027,0.0345,0.024309456999,0.00283377139864,0.038,0.027,8.57848202246
150,0.024,0.039,0.045,0.0315,0.036,0.034,0.0455,0.0345,0.0365,0.0472685581351,0.00349307499294,0.048,0.048,13.5320765316
151,0.0165,0.014,0.034,0.029,0.031,0.039,0.048,0.017,0.039,0.0273399757516,0.00297968279424,0.04,0.033,9.17546518859
152,0.0105,0.04,0.0485,0.0405,0.04,0.029,0.012,0.0365,0.0265,0.0392182735077,0.00261135143541,0.0405,0.0375,15.0183820439
153,0.0475,0.048,0.026,0.0265,0.0465,0.027,0.043,0.017,0.019,0.052292246786,0.0026276589587,0.0235,0.0305,19.9006977724
154,0.036,0.0445,0.016,0.0445,0.0165,0.028,0.0415,0.047,0.0335,0.040683960979,0.00292320358063,0.0285,0.0425,13.9175941247
155,0.034,0.0375,0.033,0.0465,0.026,0.026,0.048,0.0265,0.0315,0.0394557551341,0.00262363598394,0.0135,0.0295,15.0385782843
156,0.035,0.014,0.0295,0.023,0.016,0.0265,0.01,0.025,0.0165,0.0447062211266,0.00242504363522,0.039,0.0465,18.4352233821
157,0.0195,0.03,0.032,0.038,0.035,0.0325,0.0485,0.0295,0.024,0.0412252634412,0.00274042103122,0.0225,0.0385,15.0434049993
158,0.044,0.047,0.031,0.033,0.02,0.022,0.0495,0.0225,0.028,0.0551675454119,0.00296156937903,0.0255,0.0415,18.6278078787
159,0.0355,0.0335,0.0435,0.011,0.049,0.026,0.0175,0.038,0.023,0.0482776707476,0.00243711920293,0.0125,0.042,19.8093185961
160,0.0345,0.0365,0.0425,0.0225,0.015,0.0365,0.036,0.0265,0.0135,0.0512365177681,0.00273313221877,0.04,0.0355,18.7464468115
161,0.012,0.033,0.0275,0.0365,0.0425,0.0115,0.0145,0.035,0.0435,0.0120762388383,0.00259294315302,0.0465,0.025,4.65734808887
162,0.0495,0.0465,0.038,0.0235,0.0115,0.0325,0.022,0.043,0.0345,0.0470983736725,0.00295182559695,0.038,0.039,15.9556762842
163,0.023,0.049,0.0235,0.038,0.0255,0.021,0.0335,0.048,0.046,0.022260283347,0.00298597603876,0.042,0.0295,7.45494372964
164,0.0295,0.033,0.011,0.016,0.0105,0.031,0.023,0.0405,0.0165,0.0381305165961,0.00216241169911,0.0225,0.0375,17.6333288484
165,0.029,0.0245,0.011,0.0245,0.016,0.0105,0.0105,0.038,0.0395,0.0274025236845,0.00238596849337,0.0265,0.0445,11.4848640125
166,0.011,0.0385,0.037,0.01,0.0255,0.0185,0.0405,0.048,0.045,0.00279531686748,0.00280426959027,0.0395,0.0105,0.996807467148
167,0.04,0.032,0.0495,0.049,0.012,0.028,0.033,0.0495,0.037,0.014486296388,0.00291454875629,0.0495,0.0105,4.97033935589
168,0.0155,0.026,0.016,0.0285,0.024,0.0365,0.0445,0.017,0.014,0.0449366072752,0.00254110916469,0.029,0.0415,17.6838554989
169,0.0435,0.0295,0.0325,0.031,0.0205,0.0495,0.0295,0.035,0.012,0.0482695826687,0.00232488446518,0.0175,0.0315,20.7621425459
170,0.013,0.019,0.029,0.0165,0.036,0.0185,0.028,0.035,0.01,0.0368361025498,0.00218696183741,0.021,0.0415,16.8435049573
171,0.0265,0.0115,0.0315,0.049,0.036,0.03,0.039,0.0185,0.0425,0.0270849943546,0.00268337504278,0.0245,0.0335,10.0936298217
172,0.035,0.049,0.0155,0.041,0.049,0.027,0.049,0.0265,0.0345,0.0253696336957,0.00249866579214,0.01,0.0115,10.1532721084
173,0.036,0.0185,0.048,0.0405,0.04,0.042,0.0305,0.041,0.046,0.0328392002806,0.00323115983744,0.041,0.04,10.1632856104
174,0.04,0.047,0.0305,0.0275,0.039,0.045,0.0385,0.03,0.0265,0.055296875782,0.00286489948711,0.0215,0.04,19.3015063987
175,0.02,0.03,0.01,0.0285,0.0325,0.0185,0.044,0.0105,0.0485,0.0313169344545,0.00276844767757,0.019,0.0395,11.3120918659
176,0.038,0.034,0.024,0.044,0.022,0.0355,0.02,0.0335,0.0135,0.0308199262558,0.001956799126,0.0265,0.016,15.750173764
177,0.0115,0.0235,0.022,0.0415,0.0105,0.019,0.0455,0.033,0.0195,0.0167459541264,0.00253662037255,0.0485,0.022,6.60167926885
178,0.043,0.0115,0.041,0.0495,0.0315,0.0145,0.0435,0.0435,0.038,0.0170129975602,0.00279056300844,0.032,0.025,6.09661831996
179,0.035,0.0155,0.0365,0.0105,0.0215,0.047,0.035,0.04,0.011,0.0525728774513,0.00256869405493,0.0105,0.0475,20.4667727363
180,0.043,0.0475,0.0175,0.044,0.018,0.048,0.0285,0.04,0.0305,0.0540335486611,0.00270644093502,0.0155,0.0445,19.9647987739
181,0.039,0.0385,0.016,0.018,0.01,0.033,0.03,0.038,0.0195,0.0322773745811,0.00240680324668,0.0375,0.0245,13.4108904106
182,0.012,0.0325,0.044,0.013,0.043,0.0455,0.0115,0.016,0.0195,0.0420316418926,0.00211425575093,0.024,0.0285,19.880112363
183,0.029,0.018,0.0135,0.019,0.0395,0.0255,0.0235,0.0195,0.029,0.0265033143833,0.00194503196539,0.0115,0.028,13.6261587753
184,0.036,0.039,0.048,0.047,0.0465,0.0345,0.027,0.0115,0.0165,0.0383601453218,0.00234607776289,0.0365,0.0115,16.3507561125
185,0.018,0.0495,0.0355,0.0425,0.0365,0.0405,0.02,0.028,0.0125,0.0587013494641,0.00250472094328,0.0285,0.0435,23.4362832401
186,0.0375,0.012,0.031,0.0325,0.0475,0.0255,0.027,0.024,0.042,0.0238748445932,0.00277477402799,0.0395,0.032,8.60424825675
