Date,agg,shy,spy
2017-08-24,109.810852,84.54805,242.785126
2017-08-25,109.890686,84.578026,243.352295
2017-08-28,109.930603,84.54805,243.362259
2017-08-29,110.090271,84.58802,243.640884
2017-08-30,110.070313,84.608002,244.795135
2017-08-31,110.219994,84.608002,246.267838
2017-09-01,109.970001,84.589996,246.616104
2017-09-05,110.419998,84.669998,244.844894
2017-09-06,110.300003,84.660004,245.68074
2017-09-07,110.57,84.709999,245.650894
2017-09-08,110.440002,84.690002,245.362335
2017-09-11,110.139999,84.610001,247.97934
2017-09-12,109.980003,84.57,248.815201
2017-09-13,109.870003,84.550003,248.934601
2017-09-14,109.93,84.559998,248.854996
2017-09-15,109.910004,84.550003,249.190002
2017-09-18,109.860001,84.5,249.720001
2017-09-19,109.800003,84.510002,249.970001
2017-09-20,109.709999,84.440002,250.059998
2017-09-21,109.800003,84.480003,249.369995
